"","time_step","resources","estimate","cost_culling","cost_unused","act_culling","act_unused","harvested","sim"
"102",22,105084,105634.920634921,60,0,800,94,800,3
"103",23,104172,104676.870748299,60,0,800,65,800,3
"104",24,103298,104160.997732426,60,0,800,71,800,3
"105",25,102392,102091.836734694,60,0,800,71,800,3
"106",26,101498,101592.970521542,60,0,800,86,800,3
"107",27,100608,100102.040816327,60,0,800,84,800,3
"108",28,99705,100323.129251701,60,0,800,73,800,3
"109",29,98790,98344.6712018141,60,0,800,87,800,3
"110",30,97890,98832.1995464853,60,0,800,74,800,3
"111",31,96993,97324.2630385488,60,0,800,96,800,3
"112",32,96068,96054.4217687075,60,0,800,86,800,3
"113",33,95165,94727.8911564626,60,0,800,88,800,3
"114",34,94253,94716.5532879818,60,0,800,92,800,3
"115",35,93366,94263.0385487528,60,0,800,91,800,3
"116",36,92434,93299.3197278912,60,0,800,107,800,3
"117",37,91537,92602.0408163265,60,0,800,81,800,3
"118",38,90646,89954.6485260771,60,0,800,110,800,3
"119",39,89751,90504.5351473923,60,0,800,93,800,3
"120",40,88838,87857.1428571429,60,0,800,70,800,3
"121",1,124895,123248.299319728,38,22,1300,20,1300,4
"122",2,123473,122551.020408163,60,0,800,81,800,4
"123",3,122522,121689.342403628,60,0,800,89,800,4
"124",4,121611,120521.541950113,60,0,800,72,800,4
"125",5,120688,121541.950113379,60,0,800,97,800,4
"126",6,119739,120702.947845805,60,0,800,86,800,4
"127",7,118851,117874.149659864,60,0,800,62,800,4
"128",8,117924,118157.596371882,60,0,800,107,800,4
"129",9,117033,116740.362811791,60,0,800,82,800,4
"130",10,116102,116723.35600907,60,0,800,99,800,4
"131",11,115198,115907.029478458,60,0,800,87,800,4
"132",12,114304,115107.709750567,60,0,800,65,800,4
"133",13,113404,112284.580498866,60,0,800,78,800,4
"134",14,112487,111156.462585034,60,0,800,95,800,4
"135",15,111563,111343.537414966,60,0,800,78,800,4
"136",16,110638,110708.616780045,60,0,800,89,800,4
"137",17,109709,109863.945578231,60,0,800,82,800,4
"138",18,108806,109274.376417234,60,0,800,88,800,4
"139",19,107904,107749.433106576,60,0,800,92,800,4
"140",20,106991,107358.276643991,60,0,800,70,800,4
"141",21,106089,104818.594104308,60,0,800,87,800,4
"142",22,105186,106853.741496599,60,0,800,89,800,4
"143",23,104277,106201.814058957,60,0,800,97,800,4
"144",24,103349,102335.600907029,60,0,800,90,800,4
"145",25,102446,101626.984126984,60,0,800,86,800,4
"146",26,101553,100839.002267574,60,0,800,68,800,4
"147",27,100661,101519.274376417,60,0,800,81,800,4
"148",28,99766,99376.4172335601,60,0,800,98,800,4
"149",29,98854,99875.283446712,60,0,800,77,800,4
"150",30,97956,98446.7120181406,60,0,800,67,800,4
"151",31,97071,96870.7482993197,60,0,800,89,800,4
"152",32,96141,96009.0702947846,60,0,800,73,800,4
"153",33,95244,94427.4376417234,60,0,800,94,800,4
"154",34,94360,93123.5827664399,60,0,800,69,800,4
"155",35,93470,94291.3832199546,60,0,800,77,800,4
"156",36,92557,92568.0272108843,60,0,800,101,800,4
"157",37,91670,92159.8639455782,60,0,800,84,800,4
"158",38,90779,90634.9206349206,60,0,800,77,800,4
"159",39,89884,88690.4761904762,60,0,800,101,800,4
"160",40,89002,90277.7777777778,60,0,800,81,800,4
"161",1,124892,125538.548752834,35,25,1400,43,1400,5
"162",2,123371,124654.195011338,60,0,800,67,800,5
"163",3,122464,122460.317460317,60,0,800,78,800,5
"164",4,121562,121003.401360544,60,0,800,68,800,5
"165",5,120638,120793.650793651,60,0,800,66,800,5
"166",6,119709,120379.818594104,60,0,800,80,800,5
"167",7,118784,118684.807256236,60,0,800,91,800,5
"168",8,117850,117318.594104308,60,0,800,91,800,5
"169",9,116948,117312.925170068,60,0,800,83,800,5
"170",10,116032,114784.580498866,60,0,800,93,800,5
"171",11,115118,116145.124716553,60,0,800,75,800,5
"172",12,114208,114166.666666667,60,0,800,100,800,5
"173",13,113305,113900.22675737,60,0,800,104,800,5
"174",14,112408,112970.52154195,60,0,800,86,800,5
"175",15,111489,112460.317460317,60,0,800,77,800,5
"176",16,110579,111014.739229025,60,0,800,98,800,5
"177",17,109669,109943.310657596,60,0,800,94,800,5
"178",18,108752,108758.503401361,60,0,800,69,800,5
