"","time_step","resources","estimate","cost_culling","cost_unused","act_culling","act_unused","harvested"
"1",1,124890,125617.9138322,10,10,5000,0,5000
"2",2,119780,120136.054421769,20,0,2500,0,2500
"3",3,117167,116689.342403628,20,0,2500,0,2500
"4",4,114546,114438.775510204,20,0,2500,0,2500
"5",5,111949,111235.827664399,20,0,2500,0,2500
"6",6,109330,108860.544217687,20,0,2500,0,2500
"7",7,106720,106768.707482993,20,0,2500,0,2500
"8",8,104119,104172.335600907,20,0,2500,0,2500
"9",9,101533,100935.37414966,20,0,2500,0,2500
"10",10,98927,98979.5918367347,20,0,2500,0,2500
"11",11,96330,97227.8911564626,20,0,2500,0,2500
"12",12,93747,93820.8616780045,20,0,2500,0,2500
"13",13,91171,91621.3151927438,20,0,2500,0,2500
"14",14,88573,88815.1927437642,20,0,2500,0,2500
"15",15,85975,86921.768707483,20,0,2500,0,2500
"16",16,83390,84149.6598639456,20,0,2500,0,2500
"17",17,80821,81060.0907029479,20,0,2500,0,2500
"18",18,78245,77959.1836734694,20,0,2500,0,2500
"19",19,75658,75544.2176870748,20,0,2500,0,2500
"20",20,73085,73656.462585034,20,0,2500,0,2500
"21",21,70502,69501.1337868481,20,0,2500,0,2500
"22",22,67935,67063.4920634921,20,0,2500,0,2500
"23",23,65367,66252.8344671202,20,0,2500,0,2500
"24",24,62804,62579.3650793651,20,0,2500,0,2500
"25",25,60223,60277.7777777778,20,0,2500,0,2500
"26",26,57667,58497.7324263039,20,0,2500,0,2500
"27",27,55116,55623.5827664399,20,0,2500,0,2500
"28",28,52567,52902.4943310658,20,0,2500,0,2500
"29",29,50000,49988.6621315193,20,0,2500,0,2500
"30",30,47443,47551.0204081633,20,0,2500,0,2500
"31",31,44896,44433.1065759637,20,0,2500,0,2500
"32",32,42344,41173.4693877551,20,0,2500,0,2500
"33",33,39813,40113.3786848072,20,0,2500,0,2500
"34",34,37265,37352.6077097506,20,0,2500,0,2500
"35",35,34728,34994.3310657596,20,0,2500,0,2500
"36",36,32195,32522.6757369614,20,0,2500,0,2500
"37",37,29664,29625.8503401361,20,0,2500,0,2500
"38",38,27136,26989.7959183674,20,0,2500,0,2500
"39",39,24607,24518.1405895692,20,0,2500,0,2500
"40",40,22084,22205.2154195011,20,0,2500,0,2500
