"","Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget"
"1",1,98709,98709,60,990,2000
"2",2,97719,97719,60,1020,2075
"3",3,96699,96699,60,1050,2150
"4",4,95649,95649,60,1110,2225
"5",5,94539,94539,60,1140,2300
"6",6,93399,93399,60,1170,2375
"7",7,92229,92229,60,1200,2450
"8",8,91029,91029,60,1260,2525
"9",9,89769,89769,60,1290,2600
"10",10,88479,88479,60,1320,2675
"11",11,87159,87159,60,1350,2750
"12",12,85809,85809,60,1410,2825
"13",13,84399,84399,60,1440,2900
"14",14,82959,82959,60,1470,2975
"15",15,81489,81489,60,1500,3050
"16",16,79989,79989,60,1560,3125
"17",17,78429,78429,60,1590,3200
"18",18,76839,76839,60,1620,3275
"19",19,75219,75219,60,1650,3350
"20",20,73569,73569,60,1710,3425
"21",21,71859,71859,60,1740,3500
"22",22,70119,70119,60,1770,3575
"23",23,68349,68349,60,1800,3650
"24",24,66549,66549,60,1860,3725
"25",25,64689,64689,60,1890,3800
"26",26,62799,62799,60,1920,3875
"27",27,60879,60879,60,1950,3950
"28",28,58929,58929,60,2010,4025
"29",29,56919,56919,60,2040,4100
"30",30,54879,54879,60,2070,4175
"31",31,52809,52809,60,2100,4250
"32",32,50709,50709,60,2160,4325
"33",33,48549,48549,60,2190,4400
"34",34,46359,46359,60,2220,4475
"35",35,44139,44139,60,2250,4550
"36",36,41889,41889,60,2310,4625
"37",37,39579,39579,60,2340,4700
"38",38,37239,37239,60,2370,4775
"39",39,34869,34869,60,2400,4850
"40",40,32469,32469,60,2460,4925
"41",41,30009,30009,60,2490,5000
"42",42,27519,27519,60,2520,5075
"43",43,24999,24999,60,2550,5150
"44",44,22449,22449,60,2610,5225
"45",45,19839,19839,60,2640,5300
"46",46,17199,17199,60,2670,5375
"47",47,14529,14529,60,2700,5450
"48",48,11829,11829,60,2760,5525
"49",49,9069,9069,60,2790,5600
"50",50,6279,6279,60,2820,5675
