"","Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget"
"1",1,98740,98740,60,990,2000
"2",2,97750,97750,60,1020,2075
"3",3,96730,96730,60,1050,2150
"4",4,95680,95680,60,1110,2225
"5",5,94570,94570,60,1140,2300
"6",6,93430,93430,60,1170,2375
"7",7,92260,92260,60,1200,2450
"8",8,91060,91060,60,1260,2525
"9",9,89800,89800,60,1290,2600
"10",10,88510,88510,60,1320,2675
"11",11,87190,87190,60,1350,2750
"12",12,85840,85840,60,1410,2825
"13",13,84430,84430,60,1440,2900
"14",14,82990,82990,60,1470,2975
"15",15,81520,81520,60,1500,3050
"16",16,80020,80020,60,1560,3125
"17",17,78460,78460,60,1590,3200
"18",18,76870,76870,60,1620,3275
"19",19,75250,75250,60,1650,3350
"20",20,73600,73600,60,1710,3425
"21",21,71890,71890,60,1740,3500
"22",22,70150,70150,60,1770,3575
"23",23,68380,68380,60,1800,3650
"24",24,66580,66580,60,1860,3725
"25",25,64720,64720,60,1890,3800
"26",26,62830,62830,60,1920,3875
"27",27,60910,60910,60,1950,3950
"28",28,58960,58960,60,2010,4025
"29",29,56950,56950,60,2040,4100
"30",30,54910,54910,60,2070,4175
"31",31,52840,52840,60,2100,4250
"32",32,50740,50740,60,2160,4325
"33",33,48580,48580,60,2190,4400
"34",34,46390,46390,60,2220,4475
"35",35,44170,44170,60,2250,4550
"36",36,41920,41920,60,2310,4625
"37",37,39610,39610,60,2340,4700
"38",38,37270,37270,60,2370,4775
"39",39,34900,34900,60,2400,4850
"40",40,32500,32500,60,2460,4925
"41",41,30040,30040,60,2490,5000
"42",42,27550,27550,60,2520,5075
"43",43,25030,25030,60,2550,5150
"44",44,22480,22480,60,2610,5225
"45",45,19870,19870,60,2640,5300
"46",46,17230,17230,60,2670,5375
"47",47,14560,14560,60,2700,5450
"48",48,11860,11860,60,2760,5525
"49",49,9100,9100,60,2790,5600
"50",50,6335,6335,60,2820,5675
