"","Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget"
"1",1,98467,98467,60,990,2000
"2",2,97477,97477,60,1020,2075
"3",3,96457,96457,60,1050,2150
"4",4,95407,95407,60,1110,2225
"5",5,94297,94297,60,1140,2300
"6",6,93157,93157,60,1170,2375
"7",7,91987,91987,60,1200,2450
"8",8,90787,90787,60,1260,2525
"9",9,89527,89527,60,1290,2600
"10",10,88237,88237,60,1320,2675
"11",11,86917,86917,60,1350,2750
"12",12,85567,85567,60,1410,2825
"13",13,84157,84157,60,1440,2900
"14",14,82717,82717,60,1470,2975
"15",15,81247,81247,60,1500,3050
"16",16,79747,79747,60,1560,3125
"17",17,78187,78187,60,1590,3200
"18",18,76597,76597,60,1620,3275
"19",19,74977,74977,60,1650,3350
"20",20,73327,73327,60,1710,3425
"21",21,71617,71617,60,1740,3500
"22",22,69877,69877,60,1770,3575
"23",23,68107,68107,60,1800,3650
"24",24,66307,66307,60,1860,3725
"25",25,64447,64447,60,1890,3800
"26",26,62557,62557,60,1920,3875
"27",27,60637,60637,60,1950,3950
"28",28,58687,58687,60,2010,4025
"29",29,56677,56677,60,2040,4100
"30",30,54637,54637,60,2070,4175
"31",31,52567,52567,60,2100,4250
"32",32,50467,50467,60,2160,4325
"33",33,48307,48307,60,2190,4400
"34",34,46117,46117,60,2220,4475
"35",35,43897,43897,60,2250,4550
"36",36,41647,41647,60,2310,4625
"37",37,39337,39337,60,2340,4700
"38",38,36997,36997,60,2370,4775
"39",39,34627,34627,60,2400,4850
"40",40,32227,32227,60,2460,4925
"41",41,29767,29767,60,2490,5000
"42",42,27277,27277,60,2520,5075
"43",43,24757,24757,60,2550,5150
"44",44,22207,22207,60,2610,5225
"45",45,19597,19597,60,2640,5300
"46",46,16957,16957,60,2670,5375
"47",47,14287,14287,60,2700,5450
"48",48,11587,11587,60,2760,5525
"49",49,8827,8827,60,2790,5600
"50",50,6037,6037,60,2820,5675
