"","Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget"
"1",1,97942,97942,60,990,2000
"2",2,96952,96952,60,1020,2075
"3",3,95932,95932,60,1050,2150
"4",4,94882,94882,60,1110,2225
"5",5,93772,93772,60,1140,2300
"6",6,92632,92632,60,1170,2375
"7",7,91462,91462,60,1200,2450
"8",8,90262,90262,60,1260,2525
"9",9,89002,89002,60,1290,2600
"10",10,87712,87712,60,1320,2675
"11",11,86392,86392,60,1350,2750
"12",12,85042,85042,60,1410,2825
"13",13,83632,83632,60,1440,2900
"14",14,82192,82192,60,1470,2975
"15",15,80722,80722,60,1500,3050
"16",16,79222,79222,60,1560,3125
"17",17,77662,77662,60,1590,3200
"18",18,76072,76072,60,1620,3275
"19",19,74452,74452,60,1650,3350
"20",20,72802,72802,60,1710,3425
"21",21,71092,71092,60,1740,3500
"22",22,69352,69352,60,1770,3575
"23",23,67582,67582,60,1800,3650
"24",24,65782,65782,60,1860,3725
"25",25,63922,63922,60,1890,3800
"26",26,62032,62032,60,1920,3875
"27",27,60112,60112,60,1950,3950
"28",28,58162,58162,60,2010,4025
"29",29,56152,56152,60,2040,4100
"30",30,54112,54112,60,2070,4175
"31",31,52042,52042,60,2100,4250
"32",32,49942,49942,60,2160,4325
"33",33,47782,47782,60,2190,4400
"34",34,45592,45592,60,2220,4475
"35",35,43372,43372,60,2250,4550
"36",36,41122,41122,60,2310,4625
"37",37,38812,38812,60,2340,4700
"38",38,36472,36472,60,2370,4775
"39",39,34102,34102,60,2400,4850
"40",40,31702,31702,60,2460,4925
"41",41,29242,29242,60,2490,5000
"42",42,26752,26752,60,2520,5075
"43",43,24232,24232,60,2550,5150
"44",44,21682,21682,60,2610,5225
"45",45,19072,19072,60,2640,5300
"46",46,16432,16432,60,2670,5375
"47",47,13762,13762,60,2700,5450
"48",48,11062,11062,60,2760,5525
"49",49,8302,8302,60,2790,5600
"50",50,5548,5548,60,2820,5675
