"","time_step","resources","estimate","cost_culling","cost_tend_crop","cost_unused","act_culling","act_kill_crop","act_unused","crop_yield","harvested","sim"
"134",34,1926896,1915827.66439909,30,10,0,125,0,0,42.3684756405784,125,"N1b"
"135",35,1924827,1928526.07709751,30,10,0,125,0,0,42.5654467705077,125,"N1b"
"136",36,1922662,1939138.32199546,30,10,0,125,0,0,42.7527029736334,125,"N1b"
"137",37,1920624,1923537.41496599,30,10,0,125,0,0,42.9456464925901,125,"N1b"
"138",38,1918558,1912199.54648526,30,10,0,125,0,0,43.1191294394105,125,"N1b"
"139",39,1916419,1903219.95464853,30,10,0,125,0,0,43.3070147859475,125,"N1b"
"140",40,1914244,1903038.54875283,30,10,0,125,0,0,43.5047687693474,125,"N1b"
"141",41,1912178,1901587.3015873,30,10,0,125,0,0,43.7021787869746,125,"N1b"
"142",42,1910094,1925170.06802721,30,10,0,125,0,0,43.8968042580203,125,"N1b"
"143",43,1907978,1906213.15192744,30,10,0,125,0,0,44.0817571390724,125,"N1b"
"144",44,1905861,1909659.86394558,30,10,0,125,0,0,44.2637535270363,125,"N1b"
"145",45,1903661,1918639.45578231,30,10,0,125,0,0,44.4599180518792,125,"N1b"
"146",46,1901570,1894693.87755102,30,10,0,125,0,0,44.6567475416816,125,"N1b"
"147",47,1899547,1919002.2675737,30,10,0,125,0,0,44.8452462961055,125,"N1b"
"148",48,1897452,1887165.53287982,30,10,0,125,0,0,45.0354881325066,125,"N1b"
"149",49,1895271,1895328.79818594,30,10,0,125,0,0,45.2310063635067,125,"N1b"
"150",50,1893143,1890884.3537415,30,10,0,125,0,0,45.4350331253457,125,"N1b"
"151",1,1998006,1968072.56235828,28,10,2,134,0,0,13.4884687300499,134,"N1c"
"152",2,1995847,1973605.44217687,30,10,0,129,0,0,13.5559788751587,129,"N1c"
"153",3,1993617,1981496.59863946,30,10,0,129,0,0,13.628490007231,129,"N1c"
"154",4,1991459,1989841.26984127,30,10,0,129,0,0,13.708605408243,129,"N1c"
"155",5,1989316,1974965.98639456,30,10,0,129,0,0,13.7834474824245,129,"N1c"
"156",6,1987206,1980498.86621315,30,10,0,129,0,0,13.8612914238432,129,"N1c"
"157",7,1985041,1994013.60544218,30,10,0,129,0,0,13.9363130797507,129,"N1c"
"158",8,1982865,1987664.39909297,30,10,0,129,0,0,14.0150549507804,129,"N1c"
"159",9,1980693,1986394.55782313,30,10,0,129,0,0,14.0937196062375,129,"N1c"
"160",10,1978597,1982675.73696145,30,10,0,129,0,0,14.1736596941852,129,"N1c"
"161",11,1976556,1987120.1814059,30,10,0,129,0,0,14.2516065280238,129,"N1c"
"162",12,1974455,1973242.63038549,30,10,0,129,0,0,14.3279271474708,129,"N1c"
"163",13,1972322,1957913.83219955,30,10,0,129,0,0,14.4060187886009,129,"N1c"
"164",14,1970210,1959546.48526077,30,10,0,129,0,0,14.4820347732916,129,"N1c"
"165",15,1968034,1962993.19727891,30,10,0,129,0,0,14.5604214395075,129,"N1c"
"166",16,1965879,1976054.42176871,30,10,0,129,0,0,14.6400007232809,129,"N1c"
"167",17,1963738,1972063.49206349,30,10,0,129,0,0,14.7211318750887,129,"N1c"
"168",18,1961546,1952925.17006803,30,10,0,129,0,0,14.8024682551325,129,"N1c"
"169",19,1959382,1947029.47845805,30,10,0,129,0,0,14.8854565126686,129,"N1c"
"170",20,1957228,1980952.38095238,30,10,0,129,0,0,14.9732552302498,129,"N1c"
"171",21,1955107,1958639.45578231,30,10,0,129,0,0,15.0586773332609,129,"N1c"
"172",22,1952973,1943129.25170068,30,10,0,129,0,0,15.143760530481,129,"N1c"
"173",23,1950839,1933605.44217687,30,10,0,129,0,0,15.2296891518747,129,"N1c"
"174",24,1948809,1954467.12018141,30,10,0,129,0,0,15.3165198950257,129,"N1c"
"175",25,1946625,1923628.11791383,30,10,0,129,0,0,15.3987505716205,129,"N1c"
"176",26,1944396,1943129.25170068,30,10,0,129,0,0,15.4873114397147,129,"N1c"
"177",27,1942270,1936417.23356009,30,10,0,129,0,0,15.5763706825903,129,"N1c"
"178",28,1940141,1954195.01133787,30,10,0,129,0,0,15.6638541385969,129,"N1c"
"179",29,1937943,1939773.24263039,30,10,0,129,0,0,15.7518261603348,129,"N1c"
"180",30,1935849,1928707.4829932,30,10,0,129,0,0,15.8418040903267,129,"N1c"
"181",31,1933721,1939863.94557823,30,10,0,129,0,0,15.9276485735535,129,"N1c"
"182",32,1931592,1936235.8276644,30,10,0,129,0,0,16.0217783939343,129,"N1c"
"183",33,1929344,1918548.75283447,30,10,0,129,0,0,16.1091837841552,129,"N1c"
"184",34,1927256,1924444.44444444,30,10,0,129,0,0,16.2016524744524,129,"N1c"
"185",35,1925108,1918458.04988662,30,10,0,129,0,0,16.288122220413,129,"N1c"
"186",36,1922979,1932426.30385488,30,10,0,129,0,0,16.378885294535,129,"N1c"
"187",37,1920885,1911111.11111111,30,10,0,129,0,0,16.4735435790476,129,"N1c"
"188",38,1918763,1908390.02267574,30,10,0,129,0,0,16.5596367634308,129,"N1c"
"189",39,1916680,1927891.15646258,30,10,0,129,0,0,16.6522283238873,129,"N1c"
"190",40,1914602,1918367.34693878,30,10,0,129,0,0,16.7418310461071,129,"N1c"
"191",41,1912436,1893877.55102041,30,10,0,129,0,0,16.8322680057699,129,"N1c"
"192",42,1910255,1897414.96598639,30,10,0,129,0,0,16.9264529180941,129,"N1c"
"193",43,1908060,1923174.6031746,30,10,0,129,0,0,17.0191000123466,129,"N1c"
"194",44,1905940,1911836.73469388,30,10,0,129,0,0,17.1156821824812,129,"N1c"
"195",45,1903814,1892154.19501134,30,10,0,129,0,0,17.2063832424646,129,"N1c"
"196",46,1901729,1887437.64172336,30,10,0,129,0,0,17.300158595539,129,"N1c"
"197",47,1899590,1905215.41950113,30,10,0,129,0,0,17.391810576486,129,"N1c"
"198",48,1897459,1895238.0952381,30,10,0,129,0,0,17.4853616058215,129,"N1c"
"199",49,1895302,1883265.30612245,30,10,0,129,0,0,17.5801989960323,129,"N1c"
"200",50,1893179,1901859.41043084,30,10,0,129,0,0,17.6817345815262,129,"N1c"
"201",1,1998042,1992653.06122449,30,10,0,124,0,0,36.5319600128145,124,"N1d"
"202",2,1995861,1997823.1292517,30,10,0,124,0,0,36.6793393917363,124,"N1d"
