"","time_step","resources","estimate","cost_culling","cost_unused","act_culling","act_unused","harvested"
"1",1,124883,123543.083900227,19,41,2600,17,2600
"2",2,122149,121933.106575964,60,0,800,84,800
"3",3,121243,120136.054421769,60,0,800,76,800
"4",4,120341,120634.920634921,60,0,800,83,800
"5",5,119402,119603.174603175,60,0,800,88,800
"6",6,118475,120294.784580499,60,0,800,101,800
"7",7,117545,117568.027210884,60,0,800,81,800
"8",8,116641,117874.149659864,60,0,800,86,800
"9",9,115738,117137.188208617,60,0,800,58,800
"10",10,114809,114234.693877551,60,0,800,64,800
"11",11,113894,114744.897959184,60,0,800,94,800
"12",12,112974,111660.997732426,60,0,800,86,800
"13",13,112046,111853.741496599,60,0,800,63,800
"14",14,111141,111411.56462585,60,0,800,89,800
"15",15,110246,109835.600907029,60,0,800,92,800
"16",16,109331,109058.9569161,60,0,800,107,800
"17",17,108415,108492.063492063,60,0,800,82,800
"18",18,107492,106774.376417234,60,0,800,68,800
"19",19,106579,107755.102040816,60,0,800,73,800
"20",20,105690,104863.945578231,60,0,800,69,800
"21",21,104779,103157.596371882,60,0,800,88,800
"22",22,103855,104166.666666667,60,0,800,85,800
"23",23,102955,104608.843537415,60,0,800,64,800
"24",24,102048,101927.437641723,60,0,800,86,800
"25",25,101139,100697.278911565,60,0,800,83,800
"26",26,100231,99365.0793650794,60,0,800,74,800
"27",27,99323,99773.2426303855,60,0,800,89,800
"28",28,98417,98197.2789115646,60,0,800,73,800
"29",29,97527,98577.0975056689,60,0,800,82,800
"30",30,96644,96882.0861678005,60,0,800,86,800
"31",31,95731,96757.3696145125,60,0,800,79,800
"32",32,94842,96043.0839002267,60,0,800,73,800
"33",33,93937,94019.2743764172,60,0,800,78,800
"34",34,93010,92358.2766439909,60,0,800,92,800
"35",35,92108,91967.1201814059,60,0,800,76,800
"36",36,91223,91230.1587301587,60,0,800,94,800
"37",37,90332,89818.5941043084,60,0,800,83,800
"38",38,89450,89591.8367346939,60,0,800,106,800
"39",39,88552,88253.9682539683,60,0,800,90,800
"40",40,87657,86729.0249433107,60,0,800,84,800
