"","Time","Manager_budget","User_budget"
"1",1,497.670615584864,800
"2",2,576.208817382798,804.081647058823
"3",3,535.129576401969,808.163294117647
"4",4,436.998544069714,812.24494117647
"5",5,431.273982430595,816.326588235294
"6",6,526.674673028181,820.408235294117
"7",7,577.900795044427,824.489882352941
"8",8,506.932511269139,828.571529411764
"9",9,421.857916785502,832.653176470588
"10",10,452.249693480926,836.734823529411
"11",11,551.819709890891,840.816470588235
"12",12,568.918062303025,844.898117647058
"13",13,477.50314109999,848.979764705882
"14",14,416.804249420947,853.061411764705
"15",15,479.268706353143,857.143058823529
"16",16,569.760152370328,861.224705882352
"17",17,550.45578126951,865.306352941176
"18",18,450.757074784039,869.387999999999
"19",19,422.509937774652,873.469647058823
"20",20,508.736112750523,877.551294117646
"21",21,578.109005581772,881.63294117647
"22",22,524.970378001256,885.714588235293
"23",23,430.252904789434,889.796235294117
"24",24,438.215833964412,893.87788235294
"25",25,536.731243023075,897.959529411763
"26",26,575.755445757535,902.041176470587
"27",27,495.852712411895,906.12282352941
"28",28,418.718732663764,910.204470588234
"29",29,461.832251857462,914.286117647057
"30",30,559.529315419497,918.367764705881
"31",31,563.012616526475,922.449411764704
"32",32,466.976920766266,926.531058823528
"33",33,417.689192231976,930.612705882351
"34",34,490.217002025044,934.694352941175
"35",35,574.09702224662,938.775999999998
"36",36,541.575964822316,942.857647058822
"37",37,442.184957744662,946.939294117645
"38",38,427.301264939601,951.020941176469
"39",39,519.593463375914,955.102588235292
"40",40,578.496114672602,959.184235294116
"41",41,514.297659872324,963.265882352939
"42",42,424.775420301008,967.347529411763
"43",43,446.276054326255,971.429176470586
"44",44,546.053066594899,975.51082352941
"45",45,572.14128878812,979.592470588233
"46",46,484.807109058959,983.674117647057
"47",47,417.064665842375,987.75576470588
"48",48,472.088944555037,991.837411764703
"49",49,566.075333432487,995.919058823527
"50",50,555.878060911788,1000.00070588235
