"","Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget","Manager_budget"
"1",1,499611,499611,59,180,400,499.794111629865
"2",2,499431,499431,59,180,404.0816,499.794111629865
"3",3,499251,499251,61,180,408.1632,517.740882845725
"4",4,499071,499071,57,210,412.2448,471.038229271331
"5",5,498861,498861,62,180,416.3264,527.922523535923
"6",6,498681,498681,58,210,420.408,483.480198760374
"7",7,498471,498471,59,210,424.4896,497.80527400377
"8",8,498261,498261,61,210,428.5712,519.294713632367
"9",9,498051,498051,57,210,432.6528,470.537383668708
"10",10,497841,497841,62,210,436.7344,527.171191263112
"11",11,497631,497631,58,210,440.816,485.18489447003
"12",12,497421,497421,59,210,444.8976,495.825194108099
"13",13,497211,497211,62,210,448.9792,520.762674656091
"14",14,497001,497001,57,210,453.0608,470.165368360323
"15",15,496791,496791,62,210,457.1424,526.299305617785
"16",16,496581,496581,58,210,461.224,486.953921014897
"17",17,496371,496371,59,210,465.3056,493.86259110912
"18",18,496161,496161,62,210,469.3872,522.138301836195
"19",19,495951,495951,56,240,473.4688,469.923821493876
"20",20,495711,495711,62,210,477.5504,525.3107058975
"21",21,495501,495501,58,240,481.632,488.77948858982
"22",22,495261,495261,59,240,485.7136,491.926107214607
"23",23,495021,495021,62,210,489.7952,523.415537678669
"24",24,494811,494811,56,240,493.8768,469.813806706897
"25",25,494571,494571,62,240,497.9584,524.209745343434
"26",26,494331,494331,59,240,502.04,490.653558414517
"27",27,494091,494091,59,240,506.121599999999,490.024269618382
"28",28,493851,493851,62,240,510.203199999999,524.588757950016
"29",29,493611,493611,56,270,514.284799999999,469.835808443081
"30",30,493341,493341,62,240,518.366399999999,523.001271971136
"31",31,493101,493101,59,240,522.447999999999,492.567878131882
"32",32,492861,492861,58,270,526.529599999999,488.165452951315
"33",33,492591,492591,62,240,530.611199999999,525.652796443238
"34",34,492351,492351,56,270,534.692799999999,469.989729819067
"35",35,492081,492081,62,240,538.774399999999,521.69060722258
"36",36,491841,491841,59,270,542.855999999999,494.514018146752
"37",37,491571,491571,58,270,546.937599999999,486.357842404123
"38",38,491301,491301,62,240,551.019199999999,526.602967726923
"39",39,491061,491061,57,270,555.100799999999,470.274893051057
"40",40,490791,490791,62,270,559.182399999999,520.283522533499
"41",41,490521,490521,59,270,563.263999999999,496.483408745144
"42",42,490251,490251,58,270,567.345599999999,484.609397684365
"43",43,489981,489981,62,270,571.427199999999,527.435087777274
"44",44,489711,489711,57,300,575.508799999999,470.690042439402
"45",45,489411,489411,61,270,579.590399999999,518.786213919208
"46",46,489141,489141,59,270,583.671999999999,498.467377830486
"47",47,488871,488871,58,300,587.753599999999,482.927817966328
"48",48,488571,488571,62,270,591.835199999999,528.145492402209
"49",49,488301,488301,57,300,595.916799999999,471.233349897995
"50",50,488001,488001,61,270,599.998399999999,517.205274690811
