"","Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget","Manager_budget"
"1",1,98177,98177,59,990,2000,499.271294626046
"2",2,97187,97187,59,1050,2075,499.271294626046
"3",3,96137,96137,80,743,2150,708.714277794791
"4",4,95394,95394,96,458,2225,866.878314104426
"5",5,94936,94936,103,424,2300,935.039331302742
"6",6,94512,94512,99,478,2375,896.509135181012
"7",7,94034,94034,86,737,2450,760.721261537402
"8",8,93297,93297,66,1140,2525,560.921317607522
"9",9,92157,92157,44,1770,2600,346.027297932059
"10",10,90387,90387,26,3060,2675,168.652753218511
"11",11,87327,87327,17,4830,2750,72.2251581662673
"12",12,82497,82497,18,4680,2825,80.3533510740646
"13",13,77817,77817,29,3000,2900,191.047266837436
"14",14,74817,74817,47,1890,2975,377.205174292231
"15",15,72927,72927,69,1320,3050,593.249125209521
"16",16,71607,71607,88,929,3125,786.284025608551
"17",17,70678,70678,100,689,3200,909.048199544129
"18",18,69989,69989,103,705,3275,931.484695686579
"19",19,69284,69284,94,808,3350,848.100277280071
"20",20,68476,68476,77,1272,3425,679.310358083775
"21",21,67204,67204,56,1860,3500,466.440597071176
"22",22,65344,65344,36,2970,3575,261.608935830615
"23",23,62374,62374,21,5190,3650,114.965308787709
"24",24,57184,57184,16,6724,3725,62.4131902178511
"25",25,50460,50460,21,5392,3800,116.819171566152
"26",26,45068,45068,36,3210,3875,264.862771123612
"27",27,41858,41858,57,2070,3950,470.29775251753
"28",28,39788,39788,78,1462,4025,682.826467507219
"29",29,38326,38326,95,1015,4100,850.414474465142
"30",30,37311,37311,103,943,4175,932.030384451924
"31",31,36368,36368,100,999,4250,907.69177624843
"32",32,35369,35369,88,1195,4325,783.357589981512
"33",33,34174,34174,68,1920,4400,589.469170755651
"34",34,32254,32254,47,2850,4475,373.497165692358
"35",35,29404,29404,28,4860,4550,188.31905391813
"36",36,24544,24544,17,7591,4625,79.2728955077235
"37",37,16953,16953,17,7561,4700,73.0569931577366
"38",38,9392,9392,27,5280,4775,171.193216550619
"39",39,4270,4270,44,3300,4850,349.65439557935
"40",40,2088,2088,66,2220,4925,564.747009566487
"41",41,1306,1306,86,1552,5000,763.808884990814
"42",42,842,842,99,1258,5075,898.102732222843
"43",43,479,479,103,1216,5150,934.748733798512
"44",44,216,216,96,1333,5225,864.774670458113
"45",45,74,74,80,1832,5300,705.31263333815
"46",46,7,7,59,2730,5375,495.404490558559
"47",NA,NA,NA,NA,NA,NA,NA
"48",NA,NA,NA,NA,NA,NA,NA
"49",NA,NA,NA,NA,NA,NA,NA
"50",NA,NA,NA,NA,NA,NA,NA
