,Time,Pop_size,Pop_est,Cull_cost,Cull_count,Manager_budget,Pop_diff
1,1,123404,122874.1497,60,800,500,1596
2,2,122487,121961.4512,62,800,520,917
3,3,121584,121128.1179,64,750,540,903
4,4,120686,120221.0884,66,750,560,898
5,5,119809,119291.3832,68,700,580,877
6,6,118996,118407.0295,70,700,600,813
7,7,118172,117494.3311,72,650,620,824
8,8,117401,116729.0249,74,650,640,771
9,9,116656,115997.7324,76,650,660,745
10,10,115893,115221.0884,78,600,680,763
11,11,115184,114450.1134,80,600,700,709
12,12,114459,113611.1111,82,600,720,725
13,13,113751,113021.542,84,550,740,708
14,14,113092,112443.3107,86,550,760,659
15,15,112430,111660.9977,88,550,780,662
16,16,111753,110929.7052,90,550,800,677
17,17,111098,110391.1565,92,500,820,655
18,18,110485,109784.5805,94,500,840,613
19,19,109883,109092.9705,96,500,860,602
20,20,109257,108469.3878,98,500,880,626
21,21,108642,107817.4603,100,500,900,615
22,22,108031,107273.2426,102,450,920,611
23,23,107473,106683.6735,104,450,940,558
24,24,106905,105975.0567,106,450,960,568
25,25,106360,105606.576,108,450,980,545
26,26,105804,105130.3855,110,450,1000,556
27,27,105243,104671.2018,112,400,1020,561
28,28,104724,104149.6599,114,400,1040,519
29,29,104207,103679.1383,116,400,1060,517
30,30,103719,103231.2925,118,400,1080,488
31,31,103219,102726.7574,120,400,1100,500
32,32,102717,102256.2358,122,400,1120,502
33,33,102210,101706.3492,124,400,1140,507
34,34,101686,101167.8005,126,350,1160,524
35,35,101220,100612.2449,128,350,1180,466
36,36,100757,100051.0204,130,350,1200,463
37,37,100314,99489.79592,132,350,1220,443
38,38,99854,99081.63265,134,350,1240,460
39,39,99399,98667.80045,136,350,1260,455
40,40,98960,98276.64399,138,350,1280,439
