"","Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget"
"1",1,499718,499718,60,180,400
"2",2,499538,499538,60,180,404.0816
"3",3,499358,499358,60,180,408.1632
"4",4,499178,499178,60,180,412.2448
"5",5,498998,498998,60,180,416.3264
"6",6,498818,498818,60,210,420.408
"7",7,498608,498608,60,210,424.4896
"8",8,498398,498398,60,210,428.5712
"9",9,498188,498188,60,210,432.6528
"10",10,497978,497978,60,210,436.7344
"11",11,497768,497768,60,210,440.816
"12",12,497558,497558,60,210,444.8976
"13",13,497348,497348,60,210,448.9792
"14",14,497138,497138,60,210,453.0608
"15",15,496928,496928,60,210,457.1424
"16",16,496718,496718,60,210,461.224
"17",17,496508,496508,60,210,465.3056
"18",18,496298,496298,60,210,469.3872
"19",19,496088,496088,60,210,473.4688
"20",20,495878,495878,60,210,477.5504
"21",21,495668,495668,60,240,481.632
"22",22,495428,495428,60,240,485.7136
"23",23,495188,495188,60,240,489.7952
"24",24,494948,494948,60,240,493.8768
"25",25,494708,494708,60,240,497.9584
"26",26,494468,494468,60,240,502.04
"27",27,494228,494228,60,240,506.121599999999
"28",28,493988,493988,60,240,510.203199999999
"29",29,493748,493748,60,240,514.284799999999
"30",30,493508,493508,60,240,518.366399999999
"31",31,493268,493268,60,240,522.447999999999
"32",32,493028,493028,60,240,526.529599999999
"33",33,492788,492788,60,240,530.611199999999
"34",34,492548,492548,60,240,534.692799999999
"35",35,492308,492308,60,240,538.774399999999
"36",36,492068,492068,60,270,542.855999999999
"37",37,491798,491798,60,270,546.937599999999
"38",38,491528,491528,60,270,551.019199999999
"39",39,491258,491258,60,270,555.100799999999
"40",40,490988,490988,60,270,559.182399999999
"41",41,490718,490718,60,270,563.263999999999
"42",42,490448,490448,60,270,567.345599999999
"43",43,490178,490178,60,270,571.427199999999
"44",44,489908,489908,60,270,575.508799999999
"45",45,489638,489638,60,270,579.590399999999
"46",46,489368,489368,60,270,583.671999999999
"47",47,489098,489098,60,270,587.753599999999
"48",48,488828,488828,60,270,591.835199999999
"49",49,488558,488558,60,270,595.916799999999
"50",50,488288,488288,60,270,599.998399999999
