"","Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget"
"1",1,499612,499612,60,180,400
"2",2,499432,499432,60,180,404.0816
"3",3,499252,499252,60,180,408.1632
"4",4,499072,499072,60,180,412.2448
"5",5,498892,498892,60,180,416.3264
"6",6,498712,498712,60,210,420.408
"7",7,498502,498502,60,210,424.4896
"8",8,498292,498292,60,210,428.5712
"9",9,498082,498082,60,210,432.6528
"10",10,497872,497872,60,210,436.7344
"11",11,497662,497662,60,210,440.816
"12",12,497452,497452,60,210,444.8976
"13",13,497242,497242,60,210,448.9792
"14",14,497032,497032,60,210,453.0608
"15",15,496822,496822,60,210,457.1424
"16",16,496612,496612,60,210,461.224
"17",17,496402,496402,60,210,465.3056
"18",18,496192,496192,60,210,469.3872
"19",19,495982,495982,60,210,473.4688
"20",20,495772,495772,60,210,477.5504
"21",21,495562,495562,60,240,481.632
"22",22,495322,495322,60,240,485.7136
"23",23,495082,495082,60,240,489.7952
"24",24,494842,494842,60,240,493.8768
"25",25,494602,494602,60,240,497.9584
"26",26,494362,494362,60,240,502.04
"27",27,494122,494122,60,240,506.121599999999
"28",28,493882,493882,60,240,510.203199999999
"29",29,493642,493642,60,240,514.284799999999
"30",30,493402,493402,60,240,518.366399999999
"31",31,493162,493162,60,240,522.447999999999
"32",32,492922,492922,60,240,526.529599999999
"33",33,492682,492682,60,240,530.611199999999
"34",34,492442,492442,60,240,534.692799999999
"35",35,492202,492202,60,240,538.774399999999
"36",36,491962,491962,60,270,542.855999999999
"37",37,491692,491692,60,270,546.937599999999
"38",38,491422,491422,60,270,551.019199999999
"39",39,491152,491152,60,270,555.100799999999
"40",40,490882,490882,60,270,559.182399999999
"41",41,490612,490612,60,270,563.263999999999
"42",42,490342,490342,60,270,567.345599999999
"43",43,490072,490072,60,270,571.427199999999
"44",44,489802,489802,60,270,575.508799999999
"45",45,489532,489532,60,270,579.590399999999
"46",46,489262,489262,60,270,583.671999999999
"47",47,488992,488992,60,270,587.753599999999
"48",48,488722,488722,60,270,591.835199999999
"49",49,488452,488452,60,270,595.916799999999
"50",50,488182,488182,60,270,599.998399999999
