"","Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget"
"1",1,499726,499726,60,180,400
"2",2,499546,499546,60,180,404.0816
"3",3,499366,499366,60,180,408.1632
"4",4,499186,499186,60,180,412.2448
"5",5,499006,499006,60,180,416.3264
"6",6,498826,498826,60,210,420.408
"7",7,498616,498616,60,210,424.4896
"8",8,498406,498406,60,210,428.5712
"9",9,498196,498196,60,210,432.6528
"10",10,497986,497986,60,210,436.7344
"11",11,497776,497776,60,210,440.816
"12",12,497566,497566,60,210,444.8976
"13",13,497356,497356,60,210,448.9792
"14",14,497146,497146,60,210,453.0608
"15",15,496936,496936,60,210,457.1424
"16",16,496726,496726,60,210,461.224
"17",17,496516,496516,60,210,465.3056
"18",18,496306,496306,60,210,469.3872
"19",19,496096,496096,60,210,473.4688
"20",20,495886,495886,60,210,477.5504
"21",21,495676,495676,60,240,481.632
"22",22,495436,495436,60,240,485.7136
"23",23,495196,495196,60,240,489.7952
"24",24,494956,494956,60,240,493.8768
"25",25,494716,494716,60,240,497.9584
"26",26,494476,494476,60,240,502.04
"27",27,494236,494236,60,240,506.121599999999
"28",28,493996,493996,60,240,510.203199999999
"29",29,493756,493756,60,240,514.284799999999
"30",30,493516,493516,60,240,518.366399999999
"31",31,493276,493276,60,240,522.447999999999
"32",32,493036,493036,60,240,526.529599999999
"33",33,492796,492796,60,240,530.611199999999
"34",34,492556,492556,60,240,534.692799999999
"35",35,492316,492316,60,240,538.774399999999
"36",36,492076,492076,60,270,542.855999999999
"37",37,491806,491806,60,270,546.937599999999
"38",38,491536,491536,60,270,551.019199999999
"39",39,491266,491266,60,270,555.100799999999
"40",40,490996,490996,60,270,559.182399999999
"41",41,490726,490726,60,270,563.263999999999
"42",42,490456,490456,60,270,567.345599999999
"43",43,490186,490186,60,270,571.427199999999
"44",44,489916,489916,60,270,575.508799999999
"45",45,489646,489646,60,270,579.590399999999
"46",46,489376,489376,60,270,583.671999999999
"47",47,489106,489106,60,270,587.753599999999
"48",48,488836,488836,60,270,591.835199999999
"49",49,488566,488566,60,270,595.916799999999
"50",50,488296,488296,60,270,599.998399999999
