"","Time","Manager_budget","User_budget"
"1",1,499.794111629865,2000
"2",2,517.740882845725,2075
"3",3,471.038229271331,2150
"4",4,527.922523535923,2225
"5",5,483.480198760374,2300
"6",6,497.80527400377,2375
"7",7,519.294713632367,2450
"8",8,470.537383668708,2525
"9",9,527.171191263112,2600
"10",10,485.18489447003,2675
"11",11,495.825194108099,2750
"12",12,520.762674656091,2825
"13",13,470.165368360323,2900
"14",14,526.299305617785,2975
"15",15,486.953921014897,3050
"16",16,493.86259110912,3125
"17",17,522.138301836195,3200
"18",18,469.923821493876,3275
"19",19,525.3107058975,3350
"20",20,488.77948858982,3425
"21",21,491.926107214607,3500
"22",22,523.415537678669,3575
"23",23,469.813806706897,3650
"24",24,524.209745343434,3725
"25",25,490.653558414517,3800
"26",26,490.024269618382,3875
"27",27,524.588757950016,3950
"28",28,469.835808443081,4025
"29",29,523.001271971136,4100
"30",30,492.567878131882,4175
"31",31,488.165452951315,4250
"32",32,525.652796443238,4325
"33",33,469.989729819067,4400
"34",34,521.69060722258,4475
"35",35,494.514018146752,4550
"36",36,486.357842404123,4625
"37",37,526.602967726923,4700
"38",38,470.274893051057,4775
"39",39,520.283522533499,4850
"40",40,496.483408745144,4925
"41",41,484.609397684365,5000
"42",42,527.435087777274,5075
"43",43,470.690042439402,5150
"44",44,518.786213919208,5225
"45",45,498.467377830486,5300
"46",46,482.927817966328,5375
"47",47,528.145492402209,5450
"48",48,471.233349897995,5525
"49",49,517.205274690811,5600
"50",50,500.457189110689,5675
