"","time_step","resources","estimate","cost_culling","cost_unused","act_culling","act_unused","harvested"
"1",1,124867,122086.167800454,65,45,750,70,750
"2",2,123992,124597.505668934,110,0,434,100,434
"3",3,123442,121955.782312925,110,0,434,147,434
"4",4,122896,121162.131519274,110,0,434,123,434
"5",5,122349,122857.142857143,110,0,434,106,434
"6",6,121792,122477.324263039,110,0,434,118,434
"7",7,121247,121490.929705215,110,0,434,133,434
"8",8,120692,121621.315192744,110,0,434,125,434
"9",9,120152,120646.258503401,110,0,434,99,434
"10",10,119598,120561.224489796,110,0,434,138,434
"11",11,119037,117681.405895692,110,0,434,96,434
"12",12,118498,116252.83446712,110,0,434,82,434
"13",13,117930,115719.954648526,110,0,434,117,434
"14",14,117374,118157.596371882,110,0,434,137,434
"15",15,116833,117154.195011338,110,0,434,126,434
"16",16,116290,113996.598639456,110,0,434,104,434
"17",17,115718,115334.467120181,110,0,434,132,434
"18",18,115174,113792.517006803,110,0,434,96,434
"19",19,114614,114149.659863946,110,0,434,129,434
"20",20,114077,112414.965986395,110,0,434,112,434
"21",21,113529,113390.022675737,110,0,434,128,434
"22",22,112967,112834.467120181,110,0,434,111,434
"23",23,112407,113401.360544218,110,0,434,135,434
"24",24,111849,110158.73015873,110,0,434,131,434
"25",25,111294,112080.498866213,110,0,434,125,434
"26",26,110738,111292.517006803,110,0,434,125,434
"27",27,110185,111060.090702948,110,0,434,110,434
"28",28,109637,111065.759637188,110,0,434,110,434
"29",29,109099,110277.777777778,110,0,434,138,434
"30",30,108540,107176.870748299,110,0,434,127,434
"31",31,107993,108605.442176871,110,0,434,147,434
"32",32,107436,107777.777777778,110,0,434,118,434
"33",33,106892,106388.888888889,110,0,434,129,434
"34",34,106343,104954.648526077,110,0,434,113,434
"35",35,105799,106445.578231293,110,0,434,102,434
"36",36,105271,105680.272108844,110,0,434,117,434
"37",37,104735,104693.87755102,110,0,434,126,434
"38",38,104202,105340.136054422,110,0,434,138,434
"39",39,103655,102896.825396825,110,0,434,147,434
"40",40,103118,103945.578231293,110,0,434,104,434
