"","time_step","resources","estimate","cost_culling","cost_tend_crop","cost_unused","act_culling","act_kill_crop","act_unused","crop_yield","harvested","sim"
"73",23,1996552,1997732.42630385,30,10,0,0,0,0,165.28575207399,0,"N1a"
"74",24,1996552,2010884.3537415,10,10,20,383,0,0,165.290220261211,383,"N1a"
"75",25,1996169,1977959.18367347,30,10,0,0,0,0,165.423036880802,0,"N1a"
"76",26,1996169,2009523.80952381,10,10,20,381,0,0,165.418285874058,381,"N1a"
"77",27,1995788,1989206.34920635,30,10,0,0,0,0,165.548135314066,0,"N1a"
"78",28,1995788,1979501.13378685,24,10,6,0,0,0,165.680737878538,0,"N1a"
"79",29,1995788,1990657.59637188,26,10,4,0,0,0,165.67255336896,0,"N1a"
"80",30,1995788,2016326.53061224,13,10,17,15,0,0,165.668876156492,15,"N1a"
"81",31,1995773,1970521.54195011,30,10,0,0,0,0,165.674634506874,0,"N1a"
"82",32,1995773,1989931.97278912,24,10,6,0,0,0,165.686376832072,0,"N1a"
"83",33,1995773,1997641.72335601,26,10,4,0,0,0,165.67820242552,0,"N1a"
"84",34,1995773,1992562.35827664,30,10,0,0,0,0,165.678692922442,0,"N1a"
"85",35,1995773,2014240.36281179,10,10,20,380,0,0,165.553335584726,380,"N1a"
"86",36,1995393,1990385.48752834,30,10,0,0,0,0,165.68103428329,0,"N1a"
"87",37,1995393,2001904.76190476,10,10,20,377,0,0,165.684250635568,377,"N1a"
"88",38,1995016,1979863.94557823,30,10,0,0,0,0,165.812829077885,0,"N1a"
"89",39,1995016,1991836.73469388,24,10,6,0,0,0,165.937906706274,0,"N1a"
"90",40,1995016,1997913.83219955,28,10,2,0,0,0,165.937278039778,0,"N1a"
"91",41,1995016,2000181.40589569,10,10,20,378,0,0,165.812941709274,378,"N1a"
"92",42,1994638,1993106.57596372,30,10,0,0,0,0,165.94397361466,0,"N1a"
"93",43,1994638,2004988.66213152,10,10,20,381,0,0,165.93866684445,381,"N1a"
"94",44,1994257,2004263.03854875,10,10,20,386,0,0,165.936342883436,386,"N1a"
"95",45,1993871,1967709.75056689,30,10,0,0,0,0,166.198319076034,0,"N1a"
"96",46,1993871,1993197.27891156,24,10,6,0,0,0,166.3323355711,0,"N1a"
"97",47,1993871,1994195.01133787,29,10,1,0,0,0,166.33341765571,0,"N1a"
"98",48,1993871,2008616.78004535,13,10,17,16,0,0,166.323868305421,16,"N1a"
"99",49,1993855,2011065.75963719,10,10,20,388,0,0,166.200877765318,388,"N1a"
"100",50,1993467,2002176.8707483,10,10,20,383,0,0,166.209183360462,383,"N1a"
"101",1,2e+06,1985759.63718821,29,10,1,124,0,0,36.7643974086219,124,"N1b"
"102",2,1999876,2022585.03401361,10,10,20,376,0,0,36.7638441501525,376,"N1b"
"103",3,1999500,1997278.91156463,30,10,0,121,0,0,36.7790249722167,121,"N1b"
