"Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget","Manager_budget"
1,98024,98024,38,1560,2000,288.722298864339
2,96464,96464,38,1620,2075,288.722298864339
3,94844,94844,60,1050,2150,500.965819840779
4,93794,93794,77,789,2225,673.354548531127
5,93005,93005,35,1950,2300,258.210834608402
6,91055,91055,78,852,2375,687.685286732489
7,90203,90203,55,1320,2450,450.711113113873
8,88883,88883,49,1530,2525,394.781197306928
9,87353,87353,81,859,2600,712.299188967829
10,86494,86494,36,2220,2675,262.107511528074
11,84274,84274,78,1032,2750,682.657515722142
12,83242,83242,52,1620,2825,428.707681527259
13,81622,81622,53,1620,2900,437.621617007189
14,80002,80002,78,1117,2975,684.834706213503
15,78885,78885,33,2760,3050,234.30547044622
16,76125,76125,88,939,3125,780.052577330837
17,75186,75186,38,2520,3200,283.889964714857
18,72666,72666,68,1440,3275,586.507469031245
19,71226,71226,66,1500,3350,565.953196263862
20,69726,69726,42,2430,3425,321.934602213381
21,67296,67296,79,1260,3500,692.534259019314
22,66036,66036,51,2100,3575,410.753011661153
23,63936,63936,50,2190,3650,402.76454406909
24,61746,61746,88,1015,3725,787.747751105911
25,60731,60731,20,5678,3800,105.431087135569
26,55053,55053,96,956,3875,865.466747044624
27,54097,54097,38,3090,3950,288.722298864336
28,51007,51007,60,2010,4025,500.965819840777
29,48997,48997,77,1517,4100,673.354548531127
30,47480,47480,35,3570,4175,258.210834608403
31,43910,43910,78,1553,4250,687.685286732486
32,42357,42357,55,2340,4325,450.711113113874
33,40017,40017,49,2670,4400,394.781197306932
34,37347,37347,81,1517,4475,712.299188967825
35,35830,35830,36,3780,4550,262.107511528077
36,32050,32050,78,1688,4625,682.657515722141
37,30362,30362,52,2700,4700,428.707681527255
38,27662,27662,53,2700,4775,437.621617007192
39,24962,24962,78,1768,4850,684.834706213509
40,23194,23194,33,4469,4925,234.305470446219
41,18725,18725,88,1474,5000,780.052577330839
42,17251,17251,38,3990,5075,283.889964714854
43,13261,13261,68,2250,5150,586.507469031248
44,11011,11011,66,2370,5225,565.953196263862
45,8641,8641,42,3780,5300,321.934602213381
46,4912,4912,79,1924,5375,692.534259019316
47,3255,3255,51,3180,5450,410.753011661158
48,1593,1593,50,3300,5525,402.764544069093
49,604,604,88,1666,5600,787.747751105909
50,226,226,20,7736,5675,105.43108713557
