"Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget","Manager_budget"
1,98514,98514,60,990,2000,502.662172876053
2,97524,97524,60,1020,2075,502.662172876053
3,96504,96504,56,1140,2150,464.921389079946
4,95364,95364,55,1200,2225,458.835459069516
5,94164,94164,57,1200,2300,476.688549880232
6,92964,92964,60,1170,2375,503.901426518924
7,91794,91794,62,1170,2450,523.33942287376
8,90624,90624,62,1200,2525,520.267892618722
9,89424,89424,58,1320,2600,486.68321097229
10,88104,88104,52,1530,2675,423.903820686513
11,86574,86574,44,1860,2750,342.740984428547
12,84714,84714,36,2340,2825,261.174868378782
13,82374,82374,30,2880,2900,200.087977365417
14,79494,79494,27,3300,2975,178.099246337455
15,76194,76194,30,3030,3050,206.776055848766
16,73164,73164,38,2460,3125,287.419478732533
17,70704,70704,51,1860,3200,410.239731088053
18,68844,68844,65,1500,3275,556.15700372172
19,67344,67344,80,1143,3350,700.820919927091
20,66201,66201,91,851,3425,819.89813043838
21,65350,65350,99,808,3500,894.366205489138
22,64542,64542,101,804,3575,914.54989037566
23,63738,63738,98,854,3650,881.943504371139
24,62884,62884,90,974,3725,808.404871324863
25,61910,61910,81,1271,3800,712.948066625267
26,60639,60639,71,1620,3875,616.946175785528
27,59019,59019,63,1860,3950,538.93736661861
28,57159,57159,59,2040,4025,490.314056107882
29,55119,55119,57,2130,4100,472.94514185497
30,52989,52989,57,2190,4175,479.292730296945
31,50799,50799,59,2160,4250,494.959035086071
32,48639,48639,60,2160,4325,502.991486446163
33,46479,46479,58,2250,4400,488.835310309111
34,44229,44229,54,2460,4475,444.661693380605
35,41769,41769,47,2880,4550,371.956072247611
36,38889,38889,38,3630,4625,281.686252167391
37,35259,35259,29,4860,4700,191.976021895458
38,30399,30399,22,6391,4775,123.836323806352
39,24008,24008,19,7252,4850,95.9973198298106
40,16756,16756,22,6494,4925,120.118652818874
41,10262,10262,29,5159,5000,197.57323819281
42,5152,5152,41,3690,5075,318.621581923346
43,2328,2328,56,2730,5150,464.211818874384
44,1266,1266,70,2220,5225,609.998729887564
45,600,600,83,1775,5300,731.631255398127
46,184,184,91,1467,5375,810.046666795621
47,54,54,93,1461,5450,835.507457524124
48,3,3,90,1528,5525,809.424723745319
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
