"Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget","Manager_budget"
1,98403,98403,65,900,2000,554.117448197401
2,97503,97503,65,930,2075,554.117448197401
3,96573,96573,55,1170,2150,457.148419998249
4,95403,95403,53,1230,2225,430.791820277806
5,94173,94173,58,1170,2300,484.834389175379
6,93003,93003,44,1590,2375,340.39583105147
7,91413,91413,50,1470,2450,406.469291873511
8,89943,89943,42,1800,2525,328.843768752917
9,88143,88143,55,1410,2600,454.306987616401
10,86733,86733,52,1530,2675,424.4437747156
11,85203,85203,51,1590,2750,414.567956728263
12,83613,83613,62,1350,2825,525.4578710271
13,82263,82263,61,1410,2900,516.290425126745
14,80853,80853,75,1162,2975,654.121954597703
15,79691,79691,64,1410,3050,544.423347783166
16,78281,78281,75,1228,3125,655.268040466396
17,77053,77053,76,1213,3200,662.837433451925
18,75840,75840,75,1286,3275,658.250162691116
19,74554,74554,75,1316,3350,652.920095496146
20,73238,73238,63,1620,3425,535.786274889651
21,71618,71618,74,1395,3500,645.060281425497
22,70223,70223,60,1770,3575,507.264123311381
23,68453,68453,61,1770,3650,512.956923522691
24,66683,66683,50,2220,3725,408.277994586087
25,64463,64463,51,2220,3800,414.218741246013
26,62243,62243,55,2100,3875,452.096667929589
27,60143,60143,42,2820,3950,325.646652778022
28,57323,57323,50,2400,4025,408.373996920985
29,54923,54923,44,2790,4100,346.153216792126
30,52133,52133,59,2100,4175,490.006463438345
31,50033,50033,54,2340,4250,442.772228174077
32,47693,47693,56,2310,4325,464.342725381486
33,45383,45383,66,1980,4400,566.95531872308
34,43403,43403,66,2010,4475,564.079199980813
35,41393,41393,78,1645,4550,680.964252362828
36,39748,39748,66,2100,4625,560.737494668088
37,37648,37648,78,1712,4700,680.955700654616
38,35936,35936,75,1880,4775,655.413817583407
39,34056,34056,74,1925,4850,648.233140561448
40,32131,32131,71,2070,4925,612.725616868272
41,30061,30061,61,2430,5000,510.455913818697
42,27631,27631,70,2160,5075,608.283648726739
43,25471,25471,55,2790,5150,456.566926199324
44,22681,22681,57,2730,5225,473.905587327049
45,19951,19951,46,3450,5300,368.142088601918
46,16501,16501,50,3210,5375,407.297693800511
47,13291,13291,52,3120,5450,428.641740670369
48,10171,10171,42,3930,5525,326.30861254359
49,6241,6241,52,3210,5600,423.29502552654
50,3385,3385,47,3600,5675,376.922475491952
