"Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget","Manager_budget"
1,98439,98439,66,900,2000,562.421827970705
2,97539,97539,66,930,2075,562.421827970705
3,96609,96609,67,960,2150,576.976561707919
4,95649,95649,66,990,2225,565.307566259644
5,94659,94659,70,960,2300,600.440653823396
6,93699,93699,80,797,2375,703.430063341263
7,92902,92902,80,831,2450,701.636746456726
8,92071,92071,52,1440,2525,428.957976335918
9,90631,90631,12,6412,2600,23.7882639136854
10,84219,84219,11,6953,2675,10
11,77266,77266,20,4110,2750,106.604513343184
12,73156,73156,64,1320,2825,540.644470723994
13,71836,71836,88,753,2900,783.365845992639
14,71083,71083,83,979,2975,735.45792321548
15,70104,70104,70,1290,3050,600.541586748752
16,68814,68814,65,1440,3125,558.397880860152
17,67374,67374,67,1410,3200,575.833706595222
18,65964,65964,66,1470,3275,568.386091581682
19,64494,64494,68,1470,3350,580.829448959743
20,63024,63024,77,1264,3425,674.231172090471
21,61760,61760,82,1188,3500,726.439234724902
22,60572,60572,63,1680,3575,533.429309406751
23,58892,58892,23,4740,3650,131.968515407447
24,54152,54152,11,8336,3725,10
25,45816,45816,11,8200,3800,10
26,37616,37616,52,2220,3875,422.192665629182
27,35396,35396,84,1255,3950,746.842932365073
28,34141,34141,86,1222,4025,769.719412416529
29,32919,32919,73,1673,4100,633.595770023666
30,31246,31246,65,1920,4175,559.568332775234
31,29326,29326,67,1890,4250,571.517861971129
32,27436,27436,67,1920,4325,572.882301852043
33,25516,25516,66,1980,4400,569.300961256413
34,23536,23536,74,1783,4475,642.43539402622
35,21753,21753,82,1507,4550,729.452105803116
36,20246,20246,71,1950,4625,618.537661976415
37,18296,18296,35,4020,4700,251.23217268119
38,14276,14276,11,9644,4775,10
39,4855,4855,11,9400,4850,10
40,500,500,39,3780,4925,294.3058165867
41,74,74,78,1826,5000,683.063570341911
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
