"Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget","Manager_budget"
1,98421,98421,65,900,2000,553.400227642391
2,97521,97521,65,930,2075,553.400227642391
3,96591,96591,78,764,2150,683.156181574597
4,95827,95827,48,1380,2225,384.381142398233
5,94447,94447,49,1380,2300,399.221277052795
6,93067,93067,78,856,2375,681.070218342446
7,92211,92211,71,1020,2450,611.157837630651
8,91191,91191,44,1710,2525,344.269634659397
9,89481,89481,57,1350,2600,473.68169620268
10,88131,88131,80,916,2675,708.366479475943
11,87215,87215,53,1530,2750,438.49350413115
12,85685,85685,35,2400,2825,259.273761006786
13,83285,83285,71,1200,2900,611.51511859045
14,82085,82085,71,1230,2975,612.959584676912
15,80855,80855,35,2610,3050,256.641638256918
16,78245,78245,53,1740,3125,435.973949901607
17,76505,76505,81,1099,3200,710.365499907601
18,75406,75406,56,1740,3275,468.412436534893
19,73666,73666,44,2280,3350,341.808778338166
20,71386,71386,71,1436,3425,615.969015825991
21,69950,69950,77,1301,3500,677.656035481063
22,68649,68649,49,2160,3575,398.426480474128
23,66489,66489,49,2220,3650,390.871238421537
24,64269,64269,78,1327,3725,682.427199348234
25,62942,62942,65,1740,3800,553.920623955027
26,61202,61202,34,3390,3875,244.663525375571
27,57812,57812,60,1950,3950,500.427252823453
28,55862,55862,78,1457,4025,686.160391781578
29,54405,54405,42,2910,4100,329.726952075775
30,51495,51495,42,2970,4175,327.412992949837
31,48525,48525,78,1553,4250,683.454026707392
32,46972,46972,66,1950,4325,565.863184215917
33,45022,45022,42,3120,4400,324.974412698107
34,41902,41902,62,2160,4475,528.997278998654
35,39742,39742,80,1580,4550,709.879030106581
36,38162,38162,57,2430,4625,479.558334364843
37,35732,35732,43,3270,4700,339.87488489775
38,32462,32462,71,2002,4775,613.497143547637
39,30460,30460,74,1942,4850,649.008986860342
40,28518,28518,38,3870,4925,289.795455968518
41,24648,24648,48,3120,5000,382.243715896615
42,21528,21528,80,1753,5075,701.395349780596
43,19775,19775,54,2850,5150,440.853559653591
44,16925,16925,35,4470,5225,255.968286780538
45,12455,12455,70,2250,5300,606.071037594745
46,10205,10205,75,2110,5375,651.941390529978
47,8095,8095,45,3630,5450,353.989309991906
48,4510,4510,53,3120,5525,438.98327491844
49,2122,2122,80,1944,5600,700.866767699182
50,1332,1332,66,2550,5675,569.27893399039
