"Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget","Manager_budget"
1,97799,97799,56,1050,2000,468.470013333725
2,96749,96749,56,1110,2075,468.470013333725
3,95639,95639,64,990,2150,549.156912866546
4,94649,94649,68,960,2225,586.956232727283
5,93689,93689,65,1050,2300,553.291951502606
6,92639,92639,57,1230,2375,470.341239168246
7,91409,91409,49,1500,2450,397.544682627576
8,89909,89909,49,1530,2525,394.87974356776
9,88379,88379,57,1350,2600,476.240778471446
10,87029,87029,68,1170,2675,586.393650601184
11,85859,85859,73,1087,2750,634.774448801987
12,84772,84772,67,1260,2825,572.721443268493
13,83512,83512,54,1590,2900,445.805868514237
14,81922,81922,46,1920,2975,361.208363433889
15,80002,80002,49,1860,3050,391.260459240705
16,78142,78142,60,1560,3125,505.609665344664
17,76582,76582,70,1350,3200,601.036696445606
18,75232,75232,69,1410,3275,598.83052675441
19,73822,73822,61,1620,3350,512.507289754642
20,72202,72202,52,1950,3425,425.076708383255
21,70252,70252,50,2100,3500,408.86849835756
22,68152,68152,56,1890,3575,468.470013333725
23,66262,66262,64,1710,3650,549.156912866547
24,64552,64552,68,1620,3725,586.956232727283
25,62932,62932,65,1740,3800,553.291951502606
26,61192,61192,57,2010,3875,470.341239168247
27,59182,59182,49,2400,3950,397.544682627576
28,56782,56782,49,2460,4025,394.87974356776
29,54322,54322,57,2130,4100,476.240778471446
30,52192,52192,68,1830,4175,586.393650601184
31,50362,50362,73,1736,4250,634.774448801986
32,48626,48626,67,1920,4325,572.721443268493
33,46706,46706,54,2430,4400,445.805868514237
34,44276,44276,46,2910,4475,361.208363433889
35,41366,41366,49,2760,4550,391.260459240704
36,38606,38606,60,2310,4625,505.609665344664
37,36296,36296,70,2010,4700,601.036696445606
38,34286,34286,69,2070,4775,598.83052675441
39,32216,32216,61,2370,4850,512.507289754642
40,29846,29846,52,2820,4925,425.076708383256
41,27026,27026,50,3000,5000,408.86849835756
42,24026,24026,56,2700,5075,468.470013333726
43,21326,21326,64,2400,5150,549.156912866546
44,18926,18926,68,2280,5225,586.956232727283
45,16646,16646,65,2430,5300,553.291951502606
46,14216,14216,57,2820,5375,470.341239168247
47,11396,11396,49,3330,5450,397.544682627576
48,8066,8066,49,3360,5525,394.87974356776
49,4801,4801,57,2940,5600,476.240778471446
50,2437,2437,68,2490,5675,586.393650601183
