"Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget","Manager_budget"
1,98197,98197,55,1080,2000,450.077883096628
2,97117,97117,55,1110,2075,450.077883096628
3,96007,96007,57,1110,2150,477.890177262248
4,94897,94897,60,1110,2225,507.886671917029
5,93787,93787,63,1080,2300,537.992387029679
6,92707,92707,66,1050,2375,566.092049615297
7,91657,91657,69,1050,2450,590.167327126198
8,90607,90607,70,1080,2525,608.42848523673
9,89527,89527,71,1080,2600,619.432117806925
10,88447,88447,72,1110,2675,622.177464862885
11,87337,87337,71,1140,2750,616.175174124538
12,86197,86197,70,1200,2825,601.484088856861
13,84997,84997,67,1290,2900,578.71365115673
14,83707,83707,64,1380,2975,548.991669192133
15,82327,82327,61,1500,3050,513.899373717974
16,80827,80827,57,1620,3125,475.377746619095
17,79207,79207,53,1800,3200,435.610912968227
18,77407,77407,49,1980,3275,396.893834427509
19,75427,75427,46,2160,3350,361.492534807065
20,73267,73267,43,2370,3425,331.505565726396
21,70897,70897,40,2610,3500,308.735351499773
22,68287,68287,39,2730,3575,294.577441766398
23,65557,65557,38,2880,3650,289.934586216171
24,62677,62677,39,2850,3725,295.160997855671
25,59827,59827,41,2760,3800,310.040286691533
26,57067,57067,43,2700,3875,333.79844269999
27,54367,54367,46,2550,3950,365.151057442424
28,51817,51817,50,2400,4025,402.381835050285
29,49417,49417,54,2250,4100,443.447489716652
30,47167,47167,58,2130,4175,486.102480849988
31,45037,45037,62,2040,4250,528.03580190218
32,42997,42997,66,1950,4325,567.011292006829
33,41047,41047,70,1860,4400,601.002727717829
34,39187,39187,72,1860,4475,628.315288482804
35,37327,37327,74,1791,4550,647.685852754628
36,35536,35536,75,1818,4625,658.355917482236
37,33718,33718,76,1790,4700,660.112658102797
38,31928,31928,75,1874,4775,653.295650664869
39,30054,30054,73,1973,4850,638.768936352523
40,28081,28081,71,2070,4925,617.860285800819
41,26011,26011,69,2160,5000,592.271579404142
42,23851,23851,66,2280,5075,563.966030991106
43,21571,21571,63,2430,5150,535.03943202763
44,19141,19141,60,2610,5225,507.583590899389
45,16531,16531,58,2730,5300,483.550624250202
46,13801,13801,56,2850,5375,464.626694626295
47,10951,10951,55,2970,5450,452.123184882884
48,7981,7981,54,3060,5525,446.892193048018
49,4921,4921,54,3090,5600,449.271691325735
50,2524,2524,55,3090,5675,459.063816606824
