"Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget","Manager_budget"
1,98823,98823,67,870,2000,571.917390650697
2,97953,97953,67,900,2075,571.917390650697
3,97053,97053,66,960,2150,560.966288380943
4,96093,96093,56,1170,2225,469.249565874607
5,94923,94923,54,1260,2300,442.859251638887
6,93663,93663,62,1140,2375,524.250869560069
7,92523,92523,67,1080,2450,579.063235839134
8,91443,91443,59,1260,2525,492.518847660041
9,90183,90183,45,1710,2600,357.946628522188
10,88473,88473,47,1680,2675,373.109074487756
11,86793,86793,66,1230,2750,565.352180524595
12,85563,85563,82,948,2825,723.568172930322
13,84615,84615,75,1140,2900,652.27505710794
14,83475,83475,52,1710,2975,424.938678920406
15,81765,81765,39,2340,3050,299.459911176535
16,79425,79425,49,1890,3125,399.985721489791
17,77535,77535,67,1410,3200,576.38013348219
18,76125,76125,71,1350,3275,613.629819738707
19,74775,74775,60,1650,3350,503.004217436425
20,73125,73125,52,1950,3425,422.523525402874
21,71175,71175,57,1830,3500,478.38476260643
22,69345,69345,67,1590,3575,571.917390650697
23,67755,67755,66,1650,3650,560.966288380946
24,66105,66105,56,1980,3725,469.249565874607
25,64125,64125,54,2100,3800,442.859251638887
26,62025,62025,62,1860,3875,524.250869560068
27,60165,60165,67,1740,3950,579.063235839136
28,58425,58425,59,2040,4025,492.518847660041
29,56385,56385,45,2730,4100,357.946628522188
30,53655,53655,47,2640,4175,373.109074487756
31,51015,51015,66,1920,4250,565.352180524592
32,49095,49095,82,1435,4325,723.568172930322
33,47660,47660,75,1736,4400,652.275057107941
34,45924,45924,52,2580,4475,424.938678920407
35,43344,43344,39,3480,4550,299.459911176536
36,39864,39864,49,2820,4625,399.985721489791
37,37044,37044,67,2100,4700,576.380133482189
38,34944,34944,71,2002,4775,613.629819738707
39,32942,32942,60,2400,4850,503.004217436428
40,30542,30542,52,2820,4925,422.523525402875
41,27722,27722,57,2610,5000,478.384762606431
42,25112,25112,67,2250,5075,571.917390650697
43,22862,22862,66,2340,5150,560.966288380943
44,20522,20522,56,2790,5225,469.249565874606
45,17732,17732,54,2940,5300,442.859251638887
46,14792,14792,62,2580,5375,524.250869560069
47,12212,12212,67,2429,5450,579.063235839135
48,9783,9783,59,2790,5525,492.51884766004
49,6993,6993,45,3720,5600,357.946628522188
50,3505,3505,47,3600,5675,373.109074487755
