"Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget","Manager_budget"
1,96699,96699,28,2130,2000,189.454948138558
2,94569,94569,28,2220,2075,189.454948138558
3,92349,92349,26,2460,2150,161.260303962099
4,89889,89889,33,2010,2225,237.281888140536
5,87879,87879,49,1380,2300,395.94764894247
6,86499,86499,67,1050,2375,579.308830762538
7,85449,85449,81,835,2450,719.817395670034
8,84614,84614,87,734,2525,771.624864269065
9,83880,83880,83,851,2600,730.590897138219
10,83029,83029,73,1053,2675,633.18723256752
11,81976,81976,63,1290,2750,535.555202496496
12,80686,80686,58,1440,2825,484.211529794201
13,79246,79246,59,1470,2900,493.876740860146
14,77776,77776,64,1380,2975,543.60003773827
15,76396,76396,69,1320,3050,592.211748056261
16,75076,75076,70,1320,3125,603.700779264362
17,73756,73756,66,1440,3200,568.032333314101
18,72316,72316,60,1620,3275,505.869045824756
19,70696,70696,55,1800,3350,454.918420322072
20,68896,68896,54,1890,3425,446.047158243215
21,67006,67006,58,1800,3500,483.11653583162
22,65206,65206,63,1680,3575,538.483793083106
23,63526,63526,66,1650,3650,567.369045083933
24,61876,61876,63,1770,3725,533.608756660901
25,60106,60106,53,2130,3800,432.606212190533
26,57976,57976,39,2970,3875,298.318651644983
27,55006,55006,28,4230,3950,189.454948138559
28,50776,50776,26,4620,4025,161.260303962099
29,46156,46156,33,3720,4100,237.281888140537
30,42436,42436,49,2550,4175,395.94764894247
31,39886,39886,67,1890,4250,579.308830762539
32,37996,37996,81,1529,4325,719.817395670033
33,36467,36467,87,1333,4400,771.624864269064
34,35134,35134,83,1477,4475,730.590897138215
35,33657,33657,73,1848,4550,633.187232567521
36,31809,31809,63,2190,4625,535.555202496496
37,29619,29619,58,2430,4700,484.211529794202
38,27189,27189,59,2400,4775,493.876740860145
39,24789,24789,64,2250,4850,543.600037738272
40,22539,22539,69,2129,4925,592.211748056262
41,20410,20410,70,2130,5000,603.700779264363
42,18280,18280,66,2280,5075,568.0323333141
43,16000,16000,60,2550,5150,505.869045824758
44,13450,13450,55,2850,5225,454.918420322074
45,10600,10600,54,2940,5300,446.047158243216
46,7660,7660,58,2760,5375,483.116535831619
47,5003,5003,63,2580,5450,538.483793083105
48,2957,2957,66,2490,5525,567.369045083935
49,1697,1697,63,2639,5600,533.608756660901
50,805,805,53,3210,5675,432.606212190534
