"Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget","Manager_budget"
1,98681,98681,75,780,2000,653.328869109149
2,97901,97901,75,810,2075,653.328869109149
3,97091,97091,54,1170,2150,444.996244713574
4,95921,95921,60,1110,2225,509.192224780166
5,94811,94811,72,909,2300,624.71484479512
6,93902,93902,59,1200,2375,496.623845833899
7,92702,92702,44,1650,2450,349.646960031807
8,91052,91052,56,1350,2525,466.717826513834
9,89702,89702,70,1110,2600,602.507177296028
10,88592,88592,55,1440,2675,455.182666880252
11,87152,87152,36,2280,2750,262.364583177812
12,84872,84872,43,1950,2825,334.196363418316
13,82922,82922,55,1560,2900,455.533056598335
14,81362,81362,44,2010,2975,344.908585230218
15,79352,79352,34,2670,3050,241.259019458578
16,76682,76682,53,1740,3125,434.989515037274
17,74942,74942,77,1195,3200,676.300283127562
18,73747,73747,74,1296,3275,646.225347861094
19,72451,72451,65,1530,3350,556.864488380421
20,70921,70921,79,1221,3425,692.315944552885
21,69700,69700,91,882,3500,819.494531637848
22,68818,68818,75,1408,3575,653.328869109151
23,67410,67410,54,2010,3650,444.996244713576
24,65400,65400,60,1860,3725,509.192224780166
25,63540,63540,72,1556,3800,624.714844795121
26,61984,61984,59,1950,3875,496.623845833899
27,60034,60034,44,2670,3950,349.646960031807
28,57364,57364,56,2130,4025,466.717826513833
29,55234,55234,70,1740,4100,602.507177296029
30,53494,53494,55,2250,4175,455.182666880252
31,51244,51244,36,3540,4250,262.364583177813
32,47704,47704,43,3000,4325,334.196363418318
33,44704,44704,55,2400,4400,455.533056598335
34,42304,42304,44,3030,4475,344.90858523022
35,39274,39274,34,3990,4550,241.259019458579
36,35284,35284,53,2610,4625,434.989515037275
37,32674,32674,77,1781,4700,676.300283127565
38,30893,30893,74,1888,4775,646.225347861091
39,29005,29005,65,2220,4850,556.86448838042
40,26785,26785,79,1726,4925,692.315944552883
41,25059,25059,91,1362,5000,819.494531637849
42,23697,23697,75,1992,5075,653.32886910915
43,21705,21705,54,2850,5150,444.996244713575
44,18855,18855,60,2610,5225,509.192224780166
45,16245,16245,72,2182,5300,624.714844795121
46,14063,14063,59,2730,5375,496.623845833902
47,11333,11333,44,3690,5450,349.646960031807
48,7643,7643,56,2940,5525,466.717826513834
49,4733,4733,70,2400,5600,602.507177296028
50,2723,2723,55,3090,5675,455.182666880252
