"Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget","Manager_budget"
1,98158,98158,63,930,2000,537.442083998072
2,97228,97228,63,960,2075,537.442083998072
3,96268,96268,50,1290,2150,406.269070851231
4,94978,94978,45,1470,2225,356.852942451181
5,93508,93508,50,1380,2300,400.595852470793
6,92128,92128,57,1230,2375,474.028315658364
7,90898,90898,60,1200,2450,500.948102576633
8,89698,89698,56,1350,2525,462.752078534698
9,88348,88348,51,1500,2600,411.920780153368
10,86848,86848,51,1560,2675,417.212441550274
11,85288,85288,59,1380,2750,493.068771203802
12,83908,83908,68,1230,2825,580.531043775936
13,82678,82678,69,1260,2900,598.843259421949
14,81418,81418,62,1410,2975,520.629879552366
15,80008,80008,50,1830,3050,400.785743802612
16,78178,78178,43,2160,3125,331.341290493939
17,76018,76018,46,2070,3200,362.671601005606
18,73948,73948,56,1740,3275,462.431961463314
19,72208,72208,64,1560,3350,548.792443642829
20,70648,70648,66,1530,3425,566.17393892343
21,69118,69118,63,1650,3500,533.080270050412
22,67468,67468,61,1740,3575,518.407168643754
23,65728,65728,66,1650,3650,569.703629728808
24,64078,64078,76,1451,3725,661.803954200257
25,62627,62627,81,1281,3800,715.232023252893
26,61346,61346,76,1471,3875,668.481352593481
27,59875,59875,63,1860,3950,537.442083998072
28,58015,58015,50,2400,4025,406.269070851229
29,55615,55615,45,2730,4100,356.852942451183
30,52885,52885,50,2490,4175,400.595852470792
31,50395,50395,57,2220,4250,474.028315658363
32,48175,48175,60,2160,4325,500.948102576633
33,46015,46015,56,2340,4400,462.752078534698
34,43675,43675,51,2610,4475,411.920780153366
35,41065,41065,51,2670,4550,417.212441550275
36,38395,38395,59,2340,4625,493.068771203801
37,36055,36055,68,2070,4700,580.531043775935
38,33985,33985,69,2070,4775,598.843259421948
39,31915,31915,62,2340,4850,520.629879552364
40,29575,29575,50,2940,4925,400.78574380261
41,26635,26635,43,3480,5000,331.34129049394
42,23155,23155,46,3300,5075,362.671601005606
43,19855,19855,56,2730,5150,462.431961463314
44,17125,17125,64,2430,5225,548.792443642828
45,14695,14695,66,2400,5300,566.173938923429
46,12295,12295,63,2550,5375,533.080270050413
47,9745,9745,61,2670,5450,518.407168643755
48,7078,7078,66,2490,5525,569.703629728809
49,4688,4688,76,2124,5600,661.803954200259
50,2854,2854,81,1943,5675,715.232023252893
