"Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget","Manager_budget"
1,98385,98385,59,990,2000,499.271294626046
2,97395,97395,59,1050,2075,499.271294626046
3,96345,96345,80,737,2150,708.714277794791
4,95608,95608,96,434,2225,866.878314104426
5,95174,95174,103,432,2300,935.039331302742
6,94742,94742,99,492,2375,896.509135181012
7,94250,94250,86,736,2450,760.721261537402
8,93514,93514,66,1140,2525,560.921317607522
9,92374,92374,44,1770,2600,346.027297932059
10,90604,90604,26,3060,2675,168.652753218511
11,87544,87544,17,4830,2750,72.2251581662673
12,82714,82714,18,4680,2825,80.3533510740646
13,78034,78034,29,3000,2900,191.047266837436
14,75034,75034,47,1890,2975,377.205174292231
15,73144,73144,69,1320,3050,593.249125209521
16,71824,71824,88,943,3125,786.284025608551
17,70881,70881,100,703,3200,909.048199544129
18,70178,70178,103,687,3275,931.484695686579
19,69491,69491,94,805,3350,848.100277280071
20,68686,68686,77,1270,3425,679.310358083775
21,67416,67416,56,1860,3500,466.440597071176
22,65556,65556,36,2970,3575,261.608935830615
23,62586,62586,21,5190,3650,114.965308787709
24,57396,57396,16,6792,3725,62.4131902178511
25,50604,50604,21,5400,3800,116.819171566152
26,45204,45204,36,3210,3875,264.862771123612
27,41994,41994,57,2070,3950,470.29775251753
28,39924,39924,78,1463,4025,682.826467507219
29,38461,38461,95,1024,4100,850.414474465142
30,37437,37437,103,932,4175,932.030384451924
31,36505,36505,100,986,4250,907.69177624843
32,35519,35519,88,1192,4325,783.357589981512
33,34327,34327,68,1920,4400,589.469170755651
34,32407,32407,47,2850,4475,373.497165692358
35,29557,29557,28,4859,4550,188.31905391813
36,24698,24698,17,7438,4625,79.2728955077235
37,17260,17260,17,7535,4700,73.0569931577366
38,9725,9725,27,5278,4775,171.193216550619
39,4498,4498,44,3300,4850,349.65439557935
40,2047,2047,66,2220,4925,564.747009566487
41,1125,1125,86,1567,5000,763.808884990814
42,664,664,99,1268,5075,898.102732222843
43,330,330,103,1197,5150,934.748733798512
44,65,65,96,1350,5225,864.774670458113
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
