"Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget","Manager_budget"
1,98066,98066,59,990,2000,499.271294626046
2,97076,97076,59,1050,2075,499.271294626046
3,96026,96026,80,735,2150,708.714277794791
4,95291,95291,96,469,2225,866.878314104426
5,94822,94822,103,437,2300,935.039331302742
6,94385,94385,99,483,2375,896.509135181012
7,93902,93902,86,722,2450,760.721261537402
8,93180,93180,66,1140,2525,560.921317607522
9,92040,92040,44,1770,2600,346.027297932059
10,90270,90270,26,3060,2675,168.652753218511
11,87210,87210,17,4819,2750,72.2251581662673
12,82391,82391,18,4680,2825,80.3533510740646
13,77711,77711,29,3000,2900,191.047266837436
14,74711,74711,47,1890,2975,377.205174292231
15,72821,72821,69,1320,3050,593.249125209521
16,71501,71501,88,920,3125,786.284025608551
17,70581,70581,100,695,3200,909.048199544129
18,69886,69886,103,704,3275,931.484695686579
19,69182,69182,94,816,3350,848.100277280071
20,68366,68366,77,1265,3425,679.310358083775
21,67101,67101,56,1860,3500,466.440597071176
22,65241,65241,36,2970,3575,261.608935830615
23,62271,62271,21,5190,3650,114.965308787709
24,57081,57081,16,6675,3725,62.4131902178511
25,50406,50406,21,5387,3800,116.819171566152
26,45019,45019,36,3210,3875,264.862771123612
27,41809,41809,57,2070,3950,470.29775251753
28,39739,39739,78,1451,4025,682.826467507219
29,38288,38288,95,1019,4100,850.414474465142
30,37269,37269,103,942,4175,932.030384451924
31,36327,36327,100,991,4250,907.69177624843
32,35336,35336,88,1198,4325,783.357589981512
33,34138,34138,68,1920,4400,589.469170755651
34,32218,32218,47,2850,4475,373.497165692358
35,29368,29368,28,4856,4550,188.31905391813
36,24512,24512,17,7542,4625,79.2728955077235
37,16970,16970,17,7611,4700,73.0569931577366
38,9359,9359,27,5280,4775,171.193216550619
39,4162,4162,44,3300,4850,349.65439557935
40,1909,1909,66,2220,4925,564.747009566487
41,1032,1032,86,1579,5000,763.808884990814
42,553,553,99,1244,5075,898.102732222843
43,277,277,103,1221,5150,934.748733798512
44,65,65,96,1350,5225,864.774670458113
45,20,20,80,1836,5300,705.31263333815
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
