"Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget","Manager_budget"
1,98394,98394,59,990,2000,499.271294626046
2,97404,97404,59,1050,2075,499.271294626046
3,96354,96354,80,737,2150,708.714277794791
4,95617,95617,96,458,2225,866.878314104426
5,95159,95159,103,427,2300,935.039331302742
6,94732,94732,99,476,2375,896.509135181012
7,94256,94256,86,739,2450,760.721261537402
8,93517,93517,66,1140,2525,560.921317607522
9,92377,92377,44,1770,2600,346.027297932059
10,90607,90607,26,3060,2675,168.652753218511
11,87547,87547,17,4830,2750,72.2251581662673
12,82717,82717,18,4680,2825,80.3533510740646
13,78037,78037,29,3000,2900,191.047266837436
14,75037,75037,47,1890,2975,377.205174292231
15,73147,73147,69,1320,3050,593.249125209521
16,71827,71827,88,901,3125,786.284025608551
17,70926,70926,100,698,3200,909.048199544129
18,70228,70228,103,697,3275,931.484695686579
19,69531,69531,94,818,3350,848.100277280071
20,68713,68713,77,1281,3425,679.310358083775
21,67432,67432,56,1860,3500,466.440597071176
22,65572,65572,36,2970,3575,261.608935830615
23,62602,62602,21,5190,3650,114.965308787709
24,57412,57412,16,6680,3725,62.4131902178511
25,50732,50732,21,5395,3800,116.819171566152
26,45337,45337,36,3210,3875,264.862771123612
27,42127,42127,57,2070,3950,470.29775251753
28,40057,40057,78,1453,4025,682.826467507219
29,38604,38604,95,1036,4100,850.414474465142
30,37568,37568,103,947,4175,932.030384451924
31,36621,36621,100,1015,4250,907.69177624843
32,35606,35606,88,1201,4325,783.357589981512
33,34405,34405,68,1920,4400,589.469170755651
34,32485,32485,47,2850,4475,373.497165692358
35,29635,29635,28,4859,4550,188.31905391813
36,24776,24776,17,7354,4625,79.2728955077235
37,17422,17422,17,7600,4700,73.0569931577366
38,9822,9822,27,5280,4775,171.193216550619
39,4567,4567,44,3300,4850,349.65439557935
40,2208,2208,66,2220,4925,564.747009566487
41,1358,1358,86,1550,5000,763.808884990814
42,795,795,99,1249,5075,898.102732222843
43,410,410,103,1215,5150,934.748733798512
44,186,186,96,1334,5225,864.774670458113
45,59,59,80,1853,5300,705.31263333815
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
