"Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget","Manager_budget"
1,98525,98525,59,990,2000,499.271294626046
2,97535,97535,59,1050,2075,499.271294626046
3,96485,96485,80,751,2150,708.714277794791
4,95734,95734,96,453,2225,866.878314104426
5,95281,95281,103,433,2300,935.039331302742
6,94848,94848,99,485,2375,896.509135181012
7,94363,94363,86,729,2450,760.721261537402
8,93634,93634,66,1140,2525,560.921317607522
9,92494,92494,44,1770,2600,346.027297932059
10,90724,90724,26,3060,2675,168.652753218511
11,87664,87664,17,4830,2750,72.2251581662673
12,82834,82834,18,4680,2825,80.3533510740646
13,78154,78154,29,3000,2900,191.047266837436
14,75154,75154,47,1890,2975,377.205174292231
15,73264,73264,69,1320,3050,593.249125209521
16,71944,71944,88,934,3125,786.284025608551
17,71010,71010,100,708,3200,909.048199544129
18,70302,70302,103,676,3275,931.484695686579
19,69626,69626,94,810,3350,848.100277280071
20,68816,68816,77,1274,3425,679.310358083775
21,67542,67542,56,1860,3500,466.440597071176
22,65682,65682,36,2970,3575,261.608935830615
23,62712,62712,21,5190,3650,114.965308787709
24,57522,57522,16,6725,3725,62.4131902178511
25,50797,50797,21,5399,3800,116.819171566152
26,45398,45398,36,3210,3875,264.862771123612
27,42188,42188,57,2070,3950,470.29775251753
28,40118,40118,78,1456,4025,682.826467507219
29,38662,38662,95,1050,4100,850.414474465142
30,37612,37612,103,940,4175,932.030384451924
31,36672,36672,100,998,4250,907.69177624843
32,35674,35674,88,1184,4325,783.357589981512
33,34490,34490,68,1920,4400,589.469170755651
34,32570,32570,47,2850,4475,373.497165692358
35,29720,29720,28,4860,4550,188.31905391813
36,24860,24860,17,7512,4625,79.2728955077235
37,17348,17348,17,7656,4700,73.0569931577366
38,9692,9692,27,5279,4775,171.193216550619
39,4507,4507,44,3300,4850,349.65439557935
40,2169,2169,66,2220,4925,564.747009566487
41,1295,1295,86,1572,5000,763.808884990814
42,866,866,99,1258,5075,898.102732222843
43,573,573,103,1222,5150,934.748733798512
44,323,323,96,1339,5225,864.774670458113
45,159,159,80,1844,5300,705.31263333815
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
