"Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget","Manager_budget"
1,98312,98312,59,990,2000,499.271294626046
2,97322,97322,59,1050,2075,499.271294626046
3,96272,96272,80,743,2150,708.714277794791
4,95529,95529,96,457,2225,866.878314104426
5,95072,95072,103,425,2300,935.039331302742
6,94647,94647,99,495,2375,896.509135181012
7,94152,94152,86,720,2450,760.721261537402
8,93432,93432,66,1140,2525,560.921317607522
9,92292,92292,44,1770,2600,346.027297932059
10,90522,90522,26,3060,2675,168.652753218511
11,87462,87462,17,4830,2750,72.2251581662673
12,82632,82632,18,4680,2825,80.3533510740646
13,77952,77952,29,3000,2900,191.047266837436
14,74952,74952,47,1890,2975,377.205174292231
15,73062,73062,69,1320,3050,593.249125209521
16,71742,71742,88,917,3125,786.284025608551
17,70825,70825,100,704,3200,909.048199544129
18,70121,70121,103,685,3275,931.484695686579
19,69436,69436,94,812,3350,848.100277280071
20,68624,68624,77,1265,3425,679.310358083775
21,67359,67359,56,1860,3500,466.440597071176
22,65499,65499,36,2970,3575,261.608935830615
23,62529,62529,21,5190,3650,114.965308787709
24,57339,57339,16,6689,3725,62.4131902178511
25,50650,50650,21,5394,3800,116.819171566152
26,45256,45256,36,3210,3875,264.862771123612
27,42046,42046,57,2070,3950,470.29775251753
28,39976,39976,78,1451,4025,682.826467507219
29,38525,38525,95,1025,4100,850.414474465142
30,37500,37500,103,951,4175,932.030384451924
31,36549,36549,100,1010,4250,907.69177624843
32,35539,35539,88,1208,4325,783.357589981512
33,34331,34331,68,1920,4400,589.469170755651
34,32411,32411,47,2850,4475,373.497165692358
35,29561,29561,28,4858,4550,188.31905391813
36,24703,24703,17,7447,4625,79.2728955077235
37,17256,17256,17,7572,4700,73.0569931577366
38,9684,9684,27,5280,4775,171.193216550619
39,4487,4487,44,3300,4850,349.65439557935
40,2203,2203,66,2220,4925,564.747009566487
41,1333,1333,86,1569,5000,763.808884990814
42,821,821,99,1260,5075,898.102732222843
43,498,498,103,1218,5150,934.748733798512
44,260,260,96,1348,5225,864.774670458113
45,104,104,80,1839,5300,705.31263333815
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
