"Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget","Manager_budget"
1,97060,97060,22,2700,2000,126.903553299492
2,94360,94360,22,2820,2075,126.903553299492
3,91540,91540,24,2670,2150,142.131979695431
4,88870,88870,25,2670,2225,157.360406091371
5,86200,86200,27,2550,2300,172.58883248731
6,83650,83650,28,2520,2375,187.817258883249
7,81130,81130,30,2430,2450,203.045685279188
8,78700,78700,31,2430,2525,218.274111675127
9,76270,76270,33,2340,2600,233.502538071066
10,73930,73930,34,2340,2675,248.730964467005
11,71590,71590,36,2280,2750,263.959390862944
12,69310,69310,37,2280,2825,279.187817258883
13,67030,67030,39,2220,2900,294.416243654822
14,64810,64810,40,2220,2975,309.644670050761
15,62590,62590,42,2160,3050,324.873096446701
16,60430,60430,44,2130,3125,340.10152284264
17,58300,58300,45,2130,3200,355.329949238579
18,56170,56170,47,2070,3275,370.558375634518
19,54100,54100,48,2070,3350,385.786802030457
20,52030,52030,50,2040,3425,401.015228426396
21,49990,49990,51,2040,3500,416.243654822335
22,47950,47950,53,2010,3575,431.472081218274
23,45940,45940,54,2010,3650,446.700507614213
24,43930,43930,56,1980,3725,461.928934010152
25,41950,41950,57,1980,3800,477.157360406091
26,39970,39970,59,1950,3875,492.38578680203
27,38020,38020,60,1950,3950,507.614213197969
28,36070,36070,62,1920,4025,522.842639593909
29,34150,34150,63,1950,4100,538.071065989848
30,32200,32200,65,1920,4175,553.299492385787
31,30280,30280,66,1920,4250,568.527918781726
32,28360,28360,68,1890,4325,583.756345177665
33,26470,26470,69,1890,4400,598.984771573604
34,24580,24580,71,1890,4475,614.213197969543
35,22690,22690,72,1879,4550,629.441624365482
36,20811,20811,74,1831,4625,644.670050761421
37,18980,18980,75,1846,4700,659.89847715736
38,17134,17134,77,1779,4775,675.126903553299
39,15355,15355,79,1735,4850,690.355329949239
40,13620,13620,80,1719,4925,705.583756345178
41,11901,11901,82,1679,5000,720.812182741117
42,10222,10222,83,1668,5075,736.040609137056
43,8554,8554,85,1619,5150,751.269035532995
44,6935,6935,86,1639,5225,766.497461928934
45,5296,5296,88,1585,5300,781.725888324873
46,3832,3832,89,1581,5375,796.954314720812
47,2644,2644,91,1513,5450,812.182741116751
48,1800,1800,92,1483,5525,827.41116751269
49,1195,1195,94,1486,5600,842.639593908629
50,786,786,95,1503,5675,857.868020304568
