"Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget","Manager_budget"
1,95031,95031,22,2700,2000,126.903553299492
2,92331,92331,22,2820,2075,126.903553299492
3,89511,89511,24,2670,2150,142.131979695431
4,86841,86841,25,2670,2225,157.360406091371
5,84171,84171,27,2550,2300,172.58883248731
6,81621,81621,28,2520,2375,187.817258883249
7,79101,79101,30,2430,2450,203.045685279188
8,76671,76671,31,2430,2525,218.274111675127
9,74241,74241,33,2340,2600,233.502538071066
10,71901,71901,34,2340,2675,248.730964467005
11,69561,69561,36,2280,2750,263.959390862944
12,67281,67281,37,2280,2825,279.187817258883
13,65001,65001,39,2220,2900,294.416243654822
14,62781,62781,40,2220,2975,309.644670050761
15,60561,60561,42,2160,3050,324.873096446701
16,58401,58401,44,2130,3125,340.10152284264
17,56271,56271,45,2130,3200,355.329949238579
18,54141,54141,47,2070,3275,370.558375634518
19,52071,52071,48,2070,3350,385.786802030457
20,50001,50001,50,2040,3425,401.015228426396
21,47961,47961,51,2040,3500,416.243654822335
22,45921,45921,53,2010,3575,431.472081218274
23,43911,43911,54,2010,3650,446.700507614213
24,41901,41901,56,1980,3725,461.928934010152
25,39921,39921,57,1980,3800,477.157360406091
26,37941,37941,59,1950,3875,492.38578680203
27,35991,35991,60,1950,3950,507.614213197969
28,34041,34041,62,1920,4025,522.842639593909
29,32121,32121,63,1950,4100,538.071065989848
30,30171,30171,65,1920,4175,553.299492385787
31,28251,28251,66,1920,4250,568.527918781726
32,26331,26331,68,1890,4325,583.756345177665
33,24441,24441,69,1890,4400,598.984771573604
34,22551,22551,71,1890,4475,614.213197969543
35,20661,20661,72,1881,4550,629.441624365482
36,18780,18780,74,1825,4625,644.670050761421
37,16955,16955,75,1854,4700,659.89847715736
38,15101,15101,77,1771,4775,675.126903553299
39,13330,13330,79,1721,4850,690.355329949239
40,11609,11609,80,1710,4925,705.583756345178
41,9899,9899,82,1670,5000,720.812182741117
42,8229,8229,83,1686,5075,736.040609137056
43,6543,6543,85,1624,5150,751.269035532995
44,4943,4943,86,1627,5225,766.497461928934
45,3553,3553,88,1578,5300,781.725888324873
46,2496,2496,89,1615,5375,796.954314720812
47,1697,1697,91,1502,5450,812.182741116751
48,1132,1132,92,1481,5525,827.41116751269
49,651,651,94,1484,5600,842.639593908629
50,258,258,95,1481,5675,857.868020304568
