"Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget","Manager_budget"
1,96297,96297,22,2700,2000,126.903553299492
2,93597,93597,22,2820,2075,126.903553299492
3,90777,90777,24,2670,2150,142.131979695431
4,88107,88107,25,2670,2225,157.360406091371
5,85437,85437,27,2550,2300,172.58883248731
6,82887,82887,28,2520,2375,187.817258883249
7,80367,80367,30,2430,2450,203.045685279188
8,77937,77937,31,2430,2525,218.274111675127
9,75507,75507,33,2340,2600,233.502538071066
10,73167,73167,34,2340,2675,248.730964467005
11,70827,70827,36,2280,2750,263.959390862944
12,68547,68547,37,2280,2825,279.187817258883
13,66267,66267,39,2220,2900,294.416243654822
14,64047,64047,40,2220,2975,309.644670050761
15,61827,61827,42,2160,3050,324.873096446701
16,59667,59667,44,2130,3125,340.10152284264
17,57537,57537,45,2130,3200,355.329949238579
18,55407,55407,47,2070,3275,370.558375634518
19,53337,53337,48,2070,3350,385.786802030457
20,51267,51267,50,2040,3425,401.015228426396
21,49227,49227,51,2040,3500,416.243654822335
22,47187,47187,53,2010,3575,431.472081218274
23,45177,45177,54,2010,3650,446.700507614213
24,43167,43167,56,1980,3725,461.928934010152
25,41187,41187,57,1980,3800,477.157360406091
26,39207,39207,59,1950,3875,492.38578680203
27,37257,37257,60,1950,3950,507.614213197969
28,35307,35307,62,1920,4025,522.842639593909
29,33387,33387,63,1950,4100,538.071065989848
30,31437,31437,65,1920,4175,553.299492385787
31,29517,29517,66,1920,4250,568.527918781726
32,27597,27597,68,1890,4325,583.756345177665
33,25707,25707,69,1890,4400,598.984771573604
34,23817,23817,71,1890,4475,614.213197969543
35,21927,21927,72,1878,4550,629.441624365482
36,20049,20049,74,1831,4625,644.670050761421
37,18218,18218,75,1850,4700,659.89847715736
38,16368,16368,77,1773,4775,675.126903553299
39,14595,14595,79,1744,4850,690.355329949239
40,12851,12851,80,1709,4925,705.583756345178
41,11142,11142,82,1658,5000,720.812182741117
42,9484,9484,83,1672,5075,736.040609137056
43,7812,7812,85,1624,5150,751.269035532995
44,6188,6188,86,1625,5225,766.497461928934
45,4571,4571,88,1582,5300,781.725888324873
46,3162,3162,89,1560,5375,796.954314720812
47,2246,2246,91,1493,5450,812.182741116751
48,1559,1559,92,1496,5525,827.41116751269
49,1072,1072,94,1486,5600,842.639593908629
50,673,673,95,1491,5675,857.868020304568
