"Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget","Manager_budget"
1,96653,96653,22,2700,2000,126.903553299492
2,93953,93953,22,2820,2075,126.903553299492
3,91133,91133,24,2670,2150,142.131979695431
4,88463,88463,25,2670,2225,157.360406091371
5,85793,85793,27,2550,2300,172.58883248731
6,83243,83243,28,2520,2375,187.817258883249
7,80723,80723,30,2430,2450,203.045685279188
8,78293,78293,31,2430,2525,218.274111675127
9,75863,75863,33,2340,2600,233.502538071066
10,73523,73523,34,2340,2675,248.730964467005
11,71183,71183,36,2280,2750,263.959390862944
12,68903,68903,37,2280,2825,279.187817258883
13,66623,66623,39,2220,2900,294.416243654822
14,64403,64403,40,2220,2975,309.644670050761
15,62183,62183,42,2160,3050,324.873096446701
16,60023,60023,44,2130,3125,340.10152284264
17,57893,57893,45,2130,3200,355.329949238579
18,55763,55763,47,2070,3275,370.558375634518
19,53693,53693,48,2070,3350,385.786802030457
20,51623,51623,50,2040,3425,401.015228426396
21,49583,49583,51,2040,3500,416.243654822335
22,47543,47543,53,2010,3575,431.472081218274
23,45533,45533,54,2010,3650,446.700507614213
24,43523,43523,56,1980,3725,461.928934010152
25,41543,41543,57,1980,3800,477.157360406091
26,39563,39563,59,1950,3875,492.38578680203
27,37613,37613,60,1950,3950,507.614213197969
28,35663,35663,62,1920,4025,522.842639593909
29,33743,33743,63,1950,4100,538.071065989848
30,31793,31793,65,1920,4175,553.299492385787
31,29873,29873,66,1920,4250,568.527918781726
32,27953,27953,68,1890,4325,583.756345177665
33,26063,26063,69,1890,4400,598.984771573604
34,24173,24173,71,1890,4475,614.213197969543
35,22283,22283,72,1882,4550,629.441624365482
36,20401,20401,74,1828,4625,644.670050761421
37,18573,18573,75,1852,4700,659.89847715736
38,16721,16721,77,1778,4775,675.126903553299
39,14943,14943,79,1724,4850,690.355329949239
40,13219,13219,80,1711,4925,705.583756345178
41,11508,11508,82,1674,5000,720.812182741117
42,9834,9834,83,1661,5075,736.040609137056
43,8173,8173,85,1626,5150,751.269035532995
44,6547,6547,86,1612,5225,766.497461928934
45,4976,4976,88,1596,5300,781.725888324873
46,3628,3628,89,1577,5375,796.954314720812
47,2595,2595,91,1496,5450,812.182741116751
48,1839,1839,92,1500,5525,827.41116751269
49,1270,1270,94,1500,5600,842.639593908629
50,818,818,95,1501,5675,857.868020304568
