"Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget","Manager_budget"
1,95707,95707,22,2700,2000,126.903553299492
2,93007,93007,22,2820,2075,126.903553299492
3,90187,90187,24,2670,2150,142.131979695431
4,87517,87517,25,2670,2225,157.360406091371
5,84847,84847,27,2550,2300,172.58883248731
6,82297,82297,28,2520,2375,187.817258883249
7,79777,79777,30,2430,2450,203.045685279188
8,77347,77347,31,2430,2525,218.274111675127
9,74917,74917,33,2340,2600,233.502538071066
10,72577,72577,34,2340,2675,248.730964467005
11,70237,70237,36,2280,2750,263.959390862944
12,67957,67957,37,2280,2825,279.187817258883
13,65677,65677,39,2220,2900,294.416243654822
14,63457,63457,40,2220,2975,309.644670050761
15,61237,61237,42,2160,3050,324.873096446701
16,59077,59077,44,2130,3125,340.10152284264
17,56947,56947,45,2130,3200,355.329949238579
18,54817,54817,47,2070,3275,370.558375634518
19,52747,52747,48,2070,3350,385.786802030457
20,50677,50677,50,2040,3425,401.015228426396
21,48637,48637,51,2040,3500,416.243654822335
22,46597,46597,53,2010,3575,431.472081218274
23,44587,44587,54,2010,3650,446.700507614213
24,42577,42577,56,1980,3725,461.928934010152
25,40597,40597,57,1980,3800,477.157360406091
26,38617,38617,59,1950,3875,492.38578680203
27,36667,36667,60,1950,3950,507.614213197969
28,34717,34717,62,1920,4025,522.842639593909
29,32797,32797,63,1950,4100,538.071065989848
30,30847,30847,65,1920,4175,553.299492385787
31,28927,28927,66,1920,4250,568.527918781726
32,27007,27007,68,1890,4325,583.756345177665
33,25117,25117,69,1890,4400,598.984771573604
34,23227,23227,71,1890,4475,614.213197969543
35,21337,21337,72,1887,4550,629.441624365482
36,19450,19450,74,1829,4625,644.670050761421
37,17621,17621,75,1853,4700,659.89847715736
38,15768,15768,77,1764,4775,675.126903553299
39,14004,14004,79,1739,4850,690.355329949239
40,12265,12265,80,1710,4925,705.583756345178
41,10555,10555,82,1655,5000,720.812182741117
42,8900,8900,83,1665,5075,736.040609137056
43,7236,7236,85,1632,5150,751.269035532995
44,5709,5709,86,1615,5225,766.497461928934
45,4268,4268,88,1563,5300,781.725888324873
46,3126,3126,89,1605,5375,796.954314720812
47,2160,2160,91,1484,5450,812.182741116751
48,1518,1518,92,1483,5525,827.41116751269
49,936,936,94,1490,5600,842.639593908629
50,524,524,95,1489,5675,857.868020304568
