"Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget","Manager_budget"
1,96856,96856,22,2700,2000,126.903553299492
2,94156,94156,22,2820,2075,126.903553299492
3,91336,91336,24,2670,2150,142.131979695431
4,88666,88666,25,2670,2225,157.360406091371
5,85996,85996,27,2550,2300,172.58883248731
6,83446,83446,28,2520,2375,187.817258883249
7,80926,80926,30,2430,2450,203.045685279188
8,78496,78496,31,2430,2525,218.274111675127
9,76066,76066,33,2340,2600,233.502538071066
10,73726,73726,34,2340,2675,248.730964467005
11,71386,71386,36,2280,2750,263.959390862944
12,69106,69106,37,2280,2825,279.187817258883
13,66826,66826,39,2220,2900,294.416243654822
14,64606,64606,40,2220,2975,309.644670050761
15,62386,62386,42,2160,3050,324.873096446701
16,60226,60226,44,2130,3125,340.10152284264
17,58096,58096,45,2130,3200,355.329949238579
18,55966,55966,47,2070,3275,370.558375634518
19,53896,53896,48,2070,3350,385.786802030457
20,51826,51826,50,2040,3425,401.015228426396
21,49786,49786,51,2040,3500,416.243654822335
22,47746,47746,53,2010,3575,431.472081218274
23,45736,45736,54,2010,3650,446.700507614213
24,43726,43726,56,1980,3725,461.928934010152
25,41746,41746,57,1980,3800,477.157360406091
26,39766,39766,59,1950,3875,492.38578680203
27,37816,37816,60,1950,3950,507.614213197969
28,35866,35866,62,1920,4025,522.842639593909
29,33946,33946,63,1950,4100,538.071065989848
30,31996,31996,65,1920,4175,553.299492385787
31,30076,30076,66,1920,4250,568.527918781726
32,28156,28156,68,1890,4325,583.756345177665
33,26266,26266,69,1890,4400,598.984771573604
34,24376,24376,71,1890,4475,614.213197969543
35,22486,22486,72,1884,4550,629.441624365482
36,20602,20602,74,1833,4625,644.670050761421
37,18769,18769,75,1842,4700,659.89847715736
38,16927,16927,77,1779,4775,675.126903553299
39,15148,15148,79,1749,4850,690.355329949239
40,13399,13399,80,1734,4925,705.583756345178
41,11665,11665,82,1663,5000,720.812182741117
42,10002,10002,83,1669,5075,736.040609137056
43,8333,8333,85,1642,5150,751.269035532995
44,6700,6700,86,1624,5225,766.497461928934
45,5139,5139,88,1618,5300,781.725888324873
46,3721,3721,89,1598,5375,796.954314720812
47,2521,2521,91,1476,5450,812.182741116751
48,1638,1638,92,1497,5525,827.41116751269
49,1018,1018,94,1473,5600,842.639593908629
50,632,632,95,1468,5675,857.868020304568
