"Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget","Manager_budget"
1,96263,96263,22,2700,2000,126.903553299492
2,93563,93563,22,2820,2075,126.903553299492
3,90743,90743,24,2670,2150,142.131979695431
4,88073,88073,25,2670,2225,157.360406091371
5,85403,85403,27,2550,2300,172.58883248731
6,82853,82853,28,2520,2375,187.817258883249
7,80333,80333,30,2430,2450,203.045685279188
8,77903,77903,31,2430,2525,218.274111675127
9,75473,75473,33,2340,2600,233.502538071066
10,73133,73133,34,2340,2675,248.730964467005
11,70793,70793,36,2280,2750,263.959390862944
12,68513,68513,37,2280,2825,279.187817258883
13,66233,66233,39,2220,2900,294.416243654822
14,64013,64013,40,2220,2975,309.644670050761
15,61793,61793,42,2160,3050,324.873096446701
16,59633,59633,44,2130,3125,340.10152284264
17,57503,57503,45,2130,3200,355.329949238579
18,55373,55373,47,2070,3275,370.558375634518
19,53303,53303,48,2070,3350,385.786802030457
20,51233,51233,50,2040,3425,401.015228426396
21,49193,49193,51,2040,3500,416.243654822335
22,47153,47153,53,2010,3575,431.472081218274
23,45143,45143,54,2010,3650,446.700507614213
24,43133,43133,56,1980,3725,461.928934010152
25,41153,41153,57,1980,3800,477.157360406091
26,39173,39173,59,1950,3875,492.38578680203
27,37223,37223,60,1950,3950,507.614213197969
28,35273,35273,62,1920,4025,522.842639593909
29,33353,33353,63,1950,4100,538.071065989848
30,31403,31403,65,1920,4175,553.299492385787
31,29483,29483,66,1920,4250,568.527918781726
32,27563,27563,68,1890,4325,583.756345177665
33,25673,25673,69,1890,4400,598.984771573604
34,23783,23783,71,1890,4475,614.213197969543
35,21893,21893,72,1877,4550,629.441624365482
36,20016,20016,74,1826,4625,644.670050761421
37,18190,18190,75,1852,4700,659.89847715736
38,16338,16338,77,1767,4775,675.126903553299
39,14571,14571,79,1738,4850,690.355329949239
40,12833,12833,80,1718,4925,705.583756345178
41,11115,11115,82,1658,5000,720.812182741117
42,9457,9457,83,1676,5075,736.040609137056
43,7781,7781,85,1627,5150,751.269035532995
44,6154,6154,86,1621,5225,766.497461928934
45,4629,4629,88,1581,5300,781.725888324873
46,3355,3355,89,1590,5375,796.954314720812
47,2339,2339,91,1482,5450,812.182741116751
48,1646,1646,92,1499,5525,827.41116751269
49,1145,1145,94,1462,5600,842.639593908629
50,769,769,95,1493,5675,857.868020304568
