"Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget","Manager_budget"
1,97158,97158,22,2700,2000,126.903553299492
2,94458,94458,22,2820,2075,126.903553299492
3,91638,91638,24,2670,2150,142.131979695431
4,88968,88968,25,2670,2225,157.360406091371
5,86298,86298,27,2550,2300,172.58883248731
6,83748,83748,28,2520,2375,187.817258883249
7,81228,81228,30,2430,2450,203.045685279188
8,78798,78798,31,2430,2525,218.274111675127
9,76368,76368,33,2340,2600,233.502538071066
10,74028,74028,34,2340,2675,248.730964467005
11,71688,71688,36,2280,2750,263.959390862944
12,69408,69408,37,2280,2825,279.187817258883
13,67128,67128,39,2220,2900,294.416243654822
14,64908,64908,40,2220,2975,309.644670050761
15,62688,62688,42,2160,3050,324.873096446701
16,60528,60528,44,2130,3125,340.10152284264
17,58398,58398,45,2130,3200,355.329949238579
18,56268,56268,47,2070,3275,370.558375634518
19,54198,54198,48,2070,3350,385.786802030457
20,52128,52128,50,2040,3425,401.015228426396
21,50088,50088,51,2040,3500,416.243654822335
22,48048,48048,53,2010,3575,431.472081218274
23,46038,46038,54,2010,3650,446.700507614213
24,44028,44028,56,1980,3725,461.928934010152
25,42048,42048,57,1980,3800,477.157360406091
26,40068,40068,59,1950,3875,492.38578680203
27,38118,38118,60,1950,3950,507.614213197969
28,36168,36168,62,1920,4025,522.842639593909
29,34248,34248,63,1950,4100,538.071065989848
30,32298,32298,65,1920,4175,553.299492385787
31,30378,30378,66,1920,4250,568.527918781726
32,28458,28458,68,1890,4325,583.756345177665
33,26568,26568,69,1890,4400,598.984771573604
34,24678,24678,71,1890,4475,614.213197969543
35,22788,22788,72,1877,4550,629.441624365482
36,20911,20911,74,1830,4625,644.670050761421
37,19081,19081,75,1850,4700,659.89847715736
38,17231,17231,77,1762,4775,675.126903553299
39,15469,15469,79,1730,4850,690.355329949239
40,13739,13739,80,1711,4925,705.583756345178
41,12028,12028,82,1670,5000,720.812182741117
42,10358,10358,83,1668,5075,736.040609137056
43,8690,8690,85,1636,5150,751.269035532995
44,7054,7054,86,1631,5225,766.497461928934
45,5443,5443,88,1579,5300,781.725888324873
46,3928,3928,89,1570,5375,796.954314720812
47,2588,2588,91,1485,5450,812.182741116751
48,1781,1781,92,1490,5525,827.41116751269
49,1112,1112,94,1466,5600,842.639593908629
50,591,591,95,1484,5675,857.868020304568
