,Time,Pop_size,Pop_est,Cull_cost,Cull_count,Manager_budget,Pop_diff
1,1,122771,122420.6349,60,812,500,2229
2,2,121821,121513.6054,70,691,600,950
3,3,121000,120663.2653,80,603,700,821
4,4,120290,119920.6349,90,532,800,710
5,5,119637,119285.7143,100,476,900,653
6,6,119027,118684.8073,110,428,1000,610
7,7,118478,118095.2381,120,392,1100,549
8,8,117965,117585.034,130,361,1200,513
9,9,117490,117176.8707,140,334,1300,475
10,10,117053,116734.6939,150,311,1400,437
11,11,116622,116303.8549,160,288,1500,431
12,12,116204,115907.0295,170,270,1600,418
13,13,115835,115532.8798,180,254,1700,369
14,14,115460,115073.6961,190,239,1800,375
15,15,115097,114733.5601,200,226,1900,363
16,16,114751,114421.7687,210,211,2000,346
17,17,114412,114126.9841,220,200,2100,339
18,18,114096,113815.1927,230,196,2200,316
19,19,113778,113543.0839,240,188,2300,318
20,20,113475,113236.9615,250,176,2400,303
21,21,113184,112908.1633,260,165,2500,291
22,22,112903,112675.737,270,154,2600,281
23,23,112635,112443.3107,280,150,2700,268
24,24,112370,112205.2154,290,150,2800,265
25,25,112115,112001.1338,300,150,2900,255
26,26,111856,111791.3832,310,144,3000,259
27,27,111596,111524.9433,319,139,3100,260
28,28,111328,111269.8413,330,128,3200,268
29,29,111070,110992.0635,340,120,3300,258
30,30,110823,110714.2857,350,111,3400,247
31,31,110596,110538.5488,360,104,3500,227
32,32,110389,110345.805,368,100,3600,207
33,33,110167,110090.7029,380,100,3700,222
34,34,109938,109852.6077,390,100,3800,229
35,35,109735,109665.5329,400,100,3900,203
36,36,109536,109444.4444,410,100,4000,199
37,37,109337,109263.0385,420,100,4100,199
38,38,109123,109087.3016,430,100,4200,214
39,39,108909,108877.551,440,100,4300,214
40,40,108698,108639.4558,450,100,4400,211
