"","Time","Pop_size","Pop_est","Cull_cost","Cull_count","Manager_budget"
"1",1,123104,122125.850340136,60,800,500
"2",2,122190,121275.510204082,70,700,600
"3",3,121365,120470.52154195,80,600,700
"4",4,120635,119665.532879819,90,550,800
"5",5,119971,119007.936507937,100,500,900
"6",6,119366,118441.0430839,110,450,1000
"7",7,118805,117925.170068027,120,400,1100
"8",8,118295,117517.006802721,130,350,1200
"9",9,117837,117137.188208617,140,350,1300
"10",10,117367,116621.315192744,150,300,1400
"11",11,116956,116258.503401361,160,300,1500
"12",12,116541,115833.333333333,170,250,1600
"13",13,116177,115442.176870748,180,250,1700
"14",14,115813,114988.662131519,190,250,1800
"15",15,115453,114659.863945578,200,250,1900
"16",16,115086,114314.058956916,210,200,2000
"17",17,114777,113973.922902494,220,200,2100
"18",18,114459,113616.780045351,230,200,2200
"19",19,114148,113253.968253968,240,200,2300
"20",20,113817,112885.487528345,250,200,2400
"21",21,113483,112494.33106576,260,150,2500
"22",22,113220,112301.587301587,270,150,2600
"23",23,112955,112006.802721088,280,150,2700
"24",24,112680,111712.01814059,290,150,2800
"25",25,112405,111434.240362812,300,150,2900
"26",26,112134,111122.448979592,310,150,3000
"27",27,111879,110884.353741497,320,150,3100
"28",28,111611,110657.596371882,330,150,3200
"29",29,111347,110385.487528345,340,100,3300
"30",30,111140,110158.73015873,350,100,3400
"31",31,110911,109937.641723356,359,100,3500
"32",32,110710,109688.20861678,370,100,3600
"33",33,110492,109484.126984127,379,100,3700
"34",34,110278,109223.35600907,390,100,3800
"35",35,110086,108985.260770975,400,100,3900
"36",36,109873,108775.510204082,409,100,4000
"37",37,109660,108543.083900227,420,100,4100
"38",38,109463,108378.684807256,430,100,4200
"39",39,109241,108168.934240363,439,100,4300
"40",40,109022,107919.501133787,450,100,4400
