"","time_step","resources","estimate","cost_culling","cost_unused","act_culling","act_unused","harvested"
"1",1,124882,124920.634920635,63,46,7782,45,7782
"2",2,116996,119234.693877551,110,0,4448,102,4448
"3",3,112447,111530.612244898,110,0,4448,113,4448
"4",4,107909,107596.371882086,110,0,4448,115,4448
"5",5,103352,104631.519274376,110,0,4448,107,4448
"6",6,98809,98072.5623582766,110,0,4448,108,4448
"7",7,94253,96184.8072562358,110,0,4448,113,4448
"8",8,89699,89461.4512471655,110,0,4448,97,4448
"9",9,85166,85941.0430839002,110,0,4448,129,4448
"10",10,80635,81258.5034013605,110,0,4448,94,4448
"11",11,76108,75328.798185941,110,0,4448,128,4448
"12",12,71595,72046.485260771,110,0,4448,107,4448
"13",13,67084,67823.1292517007,110,0,4448,118,4448
"14",14,62578,62346.9387755102,110,0,4448,101,4448
"15",15,58083,57182.5396825397,110,0,4448,115,4448
"16",16,53589,54121.3151927438,110,0,4448,122,4448
"17",17,49091,48939.9092970522,110,0,4448,102,4448
"18",18,44588,44246.0317460317,110,0,4448,97,4448
"19",19,40093,40357.1428571429,110,0,4448,90,4448
"20",20,35584,35470.5215419501,110,0,4448,104,4448
"21",21,31101,30958.0498866213,110,0,4448,108,4448
"22",22,26623,26819.7278911565,110,0,4448,103,4448
"23",23,22145,21950.1133786848,110,0,4448,91,4448
"24",24,17678,17596.3718820862,110,0,4448,112,4448
"25",25,13208,13401.3605442177,110,0,4448,123,4448
"26",26,8748,8786.84807256237,110,0,4448,105,4448
"27",27,4298,4075.96371882086,110,0,4448,103,4298
"28",28,0,0,110,0,4448,114,0
