"","Time","Pop_size","Pop_est","Cull_cost","Cull_count","User_budget","Manager_budget"
"1",1,124727,124178.004535147,168,0,100,2000
"2",2,124595,124064.62585034,198,0,120,1980
"3",3,124457,123951.247165533,206,0,140,1960
"4",4,124339,123843.537414966,204,0,160,1940
"5",5,124214,123707.482993197,183,0,180,1920
"6",6,124097,123645.124716553,195,50,200,1900
"7",7,123920,123497.732426304,197,50,220,1880
"8",8,123740,123339.002267574,196,50,240,1860
"9",9,123566,123163.265306122,194,50,260,1840
"10",10,123378,122981.859410431,191,50,280,1820
"11",11,123195,122783.446712018,190,50,300,1800
"12",12,123022,122641.723356009,188,50,320,1780
"13",13,122845,122460.317460317,186,50,340,1760
"14",14,122661,122256.235827664,184,50,360,1740
"15",15,122501,122137.188208617,182,100,380,1720
"16",16,122269,121893.424036281,180,100,400,1700
"17",17,122071,121700.680272109,178,100,420,1680
"18",18,121856,121490.929705215,176,100,440,1660
"19",19,121633,121286.848072562,173,100,460,1640
"20",20,121374,121014.739229025,172,100,480,1620
"21",21,121155,120804.988662132,169,100,500,1600
"22",22,120941,120600.907029478,168,150,520,1580
"23",23,120678,120374.149659864,166,150,540,1560
"24",24,120405,120170.068027211,164,150,560,1540
"25",25,120120,119846.93877551,162,150,580,1520
"26",26,119848,119563.492063492,160,150,600,1500
"27",27,119555,119285.714285714,158,150,620,1480
"28",28,119277,119019.274376417,156,200,640,1460
"29",29,118961,118707.482993197,154,200,660,1440
"30",30,118624,118356.009070295,152,200,680,1420
"31",31,118284,118083.900226757,150,200,700,1400
"32",32,117982,117800.453514739,148,200,720,1380
"33",33,117658,117500,146,250,740,1360
"34",34,117292,117210.884353741,144,250,760,1340
"35",35,116936,116859.410430839,142,250,780,1320
"36",36,116559,116502.267573696,140,250,800,1300
"37",37,116178,116128.117913832,138,250,820,1280
"38",38,115820,115731.292517007,136,300,840,1260
"39",39,115394,115368.480725624,134,300,860,1240
"40",40,114986,114954.648526077,132,300,880,1220
