"","Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget"
"1",1,1124991,1124991,109,0,50
"2",2,1124991,1124991,110,0,100
"3",3,1124991,1124991,98,0,150
"4",4,1124991,1124991,110,0,200
"5",5,1124991,1124991,97,0,250
"6",6,1124991,1124991,108,0,300
"7",7,1124991,1124991,110,0,350
"8",8,1124991,1124991,104,0,400
"9",9,1124991,1124991,109,0,450
"10",10,1124991,1124991,110,3,500
"11",11,1124988,1124988,98,1,550
"12",12,1124987,1124987,108,0,600
"13",13,1124987,1124987,110,1,650
"14",14,1124986,1124986,103,11,700
"15",15,1124975,1124975,104,13,750
"16",16,1124962,1124962,109,9,800
"17",17,1124953,1124953,110,13,850
"18",18,1124940,1124940,110,37,900
"19",19,1124903,1124903,110,28,950
"20",20,1124875,1124875,109,53,1000
"21",21,1124822,1124822,110,36,1050
"22",22,1124786,1124786,110,53,1100
"23",23,1124733,1124733,110,55,1150
"24",24,1124678,1124678,109,76,1200
"25",25,1124602,1124602,110,81,1250
"26",26,1124521,1124521,110,96,1300
"27",27,1124425,1124425,110,100,1350
"28",28,1124325,1124325,110,104,1400
"29",29,1124221,1124221,110,134,1450
"30",30,1124087,1124087,110,112,1500
"31",31,1123975,1123975,110,150,1550
"32",32,1123825,1123825,110,145,1600
"33",33,1123680,1123680,110,151,1650
"34",34,1123529,1123529,110,161,1700
"35",35,1123368,1123368,110,167,1750
"36",36,1123201,1123201,110,178,1800
"37",37,1123023,1123023,110,179,1850
"38",38,1122844,1122844,110,202,1900
"39",39,1122642,1122642,110,192,1950
"40",40,1122450,1122450,110,201,2000
"41",41,1122249,1122249,110,217,2050
"42",42,1122032,1122032,110,223,2100
"43",43,1121809,1121809,110,249,2150
"44",44,1121560,1121560,110,254,2200
"45",45,1121306,1121306,110,262,2250
"46",46,1121044,1121044,110,255,2300
"47",47,1120789,1120789,110,256,2350
"48",48,1120533,1120533,110,282,2400
"49",49,1120251,1120251,110,295,2450
"50",50,1119956,1119956,110,303,2500
"51",51,1119653,1119653,110,302,2550
"52",52,1119351,1119351,110,299,2600
"53",53,1119052,1119052,110,325,2650
"54",54,1118727,1118727,110,337,2700
"55",55,1118390,1118390,110,337,2750
"56",56,1118053,1118053,110,339,2800
"57",57,1117714,1117714,110,348,2850
"58",58,1117366,1117366,110,368,2900
"59",59,1116998,1116998,110,378,2950
"60",60,1116620,1116620,110,376,3000
"61",61,1116244,1116244,110,392,3050
"62",62,1115852,1115852,110,407,3100
"63",63,1115445,1115445,110,408,3150
"64",64,1115037,1115037,110,427,3200
"65",65,1114610,1114610,110,424,3250
"66",66,1114186,1114186,110,451,3300
"67",67,1113735,1113735,110,441,3350
"68",68,1113294,1113294,110,464,3400
"69",69,1112830,1112830,110,464,3450
"70",70,1112366,1112366,110,461,3500
"71",71,1111905,1111905,110,470,3550
"72",72,1111435,1111435,110,495,3600
"73",73,1110940,1110940,110,501,3650
"74",74,1110439,1110439,110,501,3700
"75",75,1109938,1109938,110,512,3750
"76",76,1109426,1109426,110,522,3800
"77",77,1108904,1108904,110,522,3850
"78",78,1108382,1108382,110,533,3900
"79",79,1107849,1107849,110,551,3950
"80",80,1107298,1107298,110,554,4000
"81",81,1106744,1106744,110,577,4050
"82",82,1106167,1106167,110,578,4100
"83",83,1105589,1105589,110,589,4150
"84",84,1105000,1105000,110,581,4200
"85",85,1104419,1104419,110,594,4250
"86",86,1103825,1103825,110,607,4300
"87",87,1103218,1103218,110,606,4350
"88",88,1102612,1102612,110,624,4400
"89",89,1101988,1101988,110,622,4450
"90",90,1101366,1101366,110,652,4500
"91",91,1100714,1100714,110,658,4550
"92",92,1100056,1100056,110,654,4600
"93",93,1099402,1099402,110,668,4650
"94",94,1098734,1098734,110,665,4700
"95",95,1098069,1098069,110,680,4750
"96",96,1097389,1097389,110,691,4800
"97",97,1096698,1096698,110,697,4850
"98",98,1096001,1096001,110,699,4900
"99",99,1095302,1095302,110,721,4950
"100",100,1094581,1094581,110,723,5000
