"","Time","Trees","Trees_est","Cull_cost","Cull_count","Manager_budget"
"1",1,1119136,1119136,20,4781,100
"2",2,1114355,1114355,30,3346,200
"3",3,1111009,1111009,40,2511,300
"4",4,1108498,1108498,50,2002,400
"5",5,1106496,1106496,60,1666,500
"6",6,1104830,1104830,70,1428,600
"7",7,1103402,1103402,80,1158,700
"8",8,1102244,1102244,90,901,800
"9",9,1101343,1101343,100,833,900
"10",10,1100510,1100510,110,719,1000
"11",11,1099791,1099791,120,655,1100
"12",12,1099136,1099136,130,592,1200
"13",13,1098544,1098544,140,543,1300
"14",14,1098001,1098001,150,500,1400
"15",15,1097501,1097501,160,459,1500
"16",16,1097042,1097042,170,418,1600
"17",17,1096624,1096624,180,407,1700
"18",18,1096217,1096217,190,380,1800
"19",19,1095837,1095837,200,360,1900
"20",20,1095477,1095477,210,342,2000
"21",21,1095135,1095135,220,327,2100
"22",22,1094808,1094808,230,310,2200
"23",23,1094498,1094498,240,291,2300
"24",24,1094207,1094207,250,279,2400
"25",25,1093928,1093928,260,264,2500
"26",26,1093664,1093664,270,256,2600
"27",27,1093408,1093408,280,244,2700
"28",28,1093164,1093164,290,234,2800
"29",29,1092930,1092930,299,232,2900
"30",30,1092698,1092698,310,221,3000
"31",31,1092477,1092477,319,219,3100
"32",32,1092258,1092258,330,203,3200
"33",33,1092055,1092055,340,208,3300
"34",34,1091847,1091847,350,192,3400
"35",35,1091655,1091655,360,188,3500
"36",36,1091467,1091467,370,186,3600
"37",37,1091281,1091281,380,174,3700
"38",38,1091107,1091107,390,170,3800
"39",39,1090937,1090937,400,171,3900
"40",40,1090766,1090766,410,161,4000
"41",41,1090605,1090605,420,159,4100
"42",42,1090446,1090446,430,157,4200
"43",43,1090289,1090289,439,152,4300
"44",44,1090137,1090137,448,142,4400
"45",45,1089995,1089995,459,140,4500
"46",46,1089855,1089855,470,139,4600
"47",47,1089716,1089716,480,139,4700
"48",48,1089577,1089577,490,129,4800
"49",49,1089448,1089448,498,134,4900
"50",50,1089314,1089314,510,126,5000
"51",51,1089188,1089188,519,118,5100
"52",52,1089070,1089070,530,124,5200
"53",53,1088946,1088946,540,117,5300
"54",54,1088829,1088829,550,118,5400
"55",55,1088711,1088711,560,112,5500
"56",56,1088599,1088599,567,113,5600
"57",57,1088486,1088486,580,100,5700
"58",58,1088386,1088386,590,99,5800
"59",59,1088287,1088287,600,104,5900
"60",60,1088183,1088183,608,101,6000
"61",61,1088082,1088082,620,100,6100
"62",62,1087982,1087982,630,100,6200
"63",63,1087882,1087882,640,98,6300
"64",64,1087784,1087784,647,94,6400
"65",65,1087690,1087690,656,92,6500
"66",66,1087598,1087598,667,88,6600
"67",67,1087510,1087510,677,90,6700
"68",68,1087420,1087420,689,83,6800
"69",69,1087337,1087337,700,81,6900
"70",70,1087256,1087256,709,83,7000
"71",71,1087173,1087173,720,83,7100
"72",72,1087090,1087090,730,85,7200
"73",73,1087005,1087005,740,81,7300
"74",74,1086924,1086924,750,79,7400
"75",75,1086845,1086845,760,80,7500
"76",76,1086765,1086765,770,78,7600
"77",77,1086687,1086687,780,74,7700
"78",78,1086613,1086613,786,77,7800
"79",79,1086536,1086536,800,69,7900
"80",80,1086467,1086467,807,72,8000
"81",81,1086395,1086395,820,69,8100
"82",82,1086326,1086326,821,75,8200
"83",83,1086251,1086251,835,72,8300
"84",84,1086179,1086179,850,68,8400
"85",85,1086111,1086111,855,69,8500
"86",86,1086042,1086042,868,69,8600
"87",87,1085973,1085973,880,63,8700
"88",88,1085910,1085910,889,61,8800
"89",89,1085849,1085849,893,65,8900
"90",90,1085784,1085784,910,63,9000
"91",91,1085721,1085721,917,61,9100
"92",92,1085660,1085660,930,60,9200
"93",93,1085600,1085600,939,62,9300
"94",94,1085538,1085538,948,60,9400
"95",95,1085478,1085478,960,58,9500
"96",96,1085420,1085420,969,54,9600
"97",97,1085366,1085366,980,54,9700
"98",98,1085312,1085312,989,58,9800
"99",99,1085254,1085254,1000,56,9900
"100",100,1085198,1085198,1002,58,10000
