"","Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget","Manager_budget"
"1",1,1124757,1124757,59,120,400,499.656946890636
"2",2,1124637,1124637,59,120,404.0816,499.656946890636
"3",3,1124517,1124517,62,120,408.1632,529.560023322844
"4",4,1124397,1124397,55,140,412.2448,451.743629352886
"5",5,1124257,1124257,64,120,416.3264,546.524767348511
"6",6,1124137,1124137,57,140,420.408,472.474554159532
"7",7,1123997,1123997,59,140,424.4896,496.343127216386
"8",8,1123857,1123857,63,120,428.5712,532.149030571937
"9",9,1123737,1123737,55,140,432.6528,450.909115770703
"10",10,1123597,1123597,64,120,436.7344,545.272890556323
"11",11,1123477,1123477,57,140,440.816,475.314933940741
"12",12,1123337,1123337,59,140,444.8976,493.043899753687
"13",13,1123197,1123197,63,140,448.9792,534.594960826686
"14",14,1123057,1123057,55,160,453.0608,450.289260418072
"15",15,1122897,1122897,64,140,457.1424,543.82014661822
"16",16,1122757,1122757,57,160,461.224,478.262502355443
"17",17,1122597,1122597,58,160,465.3056,489.773792458137
"18",18,1122437,1122437,63,140,469.3872,536.88704357595
"19",19,1122297,1122297,54,160,473.4688,449.886792791865
"20",20,1122137,1122137,64,140,477.5504,542.172932607356
"21",21,1121997,1121997,58,160,481.632,481.304279958137
"22",22,1121837,1121837,58,160,485.7136,486.547205056378
"23",23,1121677,1121677,63,140,489.7952,539.015185767104
"24",24,1121537,1121537,54,180,493.8768,449.703485134787
"25",25,1121357,1121357,64,140,497.9584,540.3385019345
"26",26,1121217,1121217,58,160,502.04,484.426872458659
"27",27,1121057,1121057,58,160,506.121599999999,483.378345637738
"28",28,1120897,1120897,64,140,510.203199999999,540.9700162502
"29",29,1120757,1120757,54,180,514.284799999999,449.740144631409
"30",30,1120577,1120577,63,160,518.366399999999,538.324932408069
"31",31,1120417,1120417,58,180,522.447999999999,487.616529703158
"32",32,1120237,1120237,58,180,526.529599999999,480.281168089743
"33",33,1120057,1120057,64,160,530.611199999999,542.742927043285
"34",34,1119897,1119897,54,180,534.692799999999,449.996609853776
"35",35,1119717,1119717,63,160,538.774399999999,536.141090663965
"36",36,1119557,1119557,59,180,542.855999999999,490.859206222097
"37",37,1119377,1119377,57,180,546.937599999999,477.269310652981
"38",38,1119197,1119197,64,160,551.019199999999,544.326111237143
"39",39,1119037,1119037,55,200,555.100799999999,450.471751472249
"40",40,1118837,1118837,63,160,559.182399999999,533.796593121867
"41",41,1118677,1118677,59,180,563.263999999999,494.14062307866
"42",42,1118497,1118497,57,180,567.345599999999,474.356035865914
"43",43,1118317,1118317,64,160,571.427199999999,545.712597372567
"44",44,1118157,1118157,55,200,575.508799999999,451.163477228438
"45",45,1117957,1117957,63,180,579.590399999999,531.301763639882
"46",46,1117777,1117777,59,180,583.671999999999,497.446330745211
"47",47,1117597,1117597,57,200,587.753599999999,471.554172164054
"48",48,1117397,1117397,64,180,591.835199999999,546.896280138771
"49",49,1117217,1117217,55,200,595.916799999999,452.068741148344
"50",50,1117017,1117017,62,180,599.998399999999,528.667588054044
