"","time_step","resources","estimate","cost_culling","cost_unused","act_culling","act_unused","harvested"
"1",40,22197,22103.1746031746,20,0,2500,0,2500
"2",40,22898,22692.7437641723,20,0,2500,0,2500
"3",40,23177,22715.4195011338,20,0,2500,0,2500
"4",40,23959,24467.1201814059,20,0,2500,0,2500
"5",40,23211,23106.5759637188,20,0,2500,0,2500
"6",40,23730,23401.3605442177,20,0,2500,0,2500
"7",40,23550,23690.4761904762,20,0,2500,0,2500
"8",40,24333,24195.0113378685,20,0,2500,0,2500
"9",40,23483,23276.6439909297,20,0,2500,0,2500
"10",40,23693,23458.0498866213,20,0,2500,0,2500
