"Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget"
1,98365,98365,60,990,2000
2,97375,97375,60,1020,2075
3,96355,96355,60,1050,2150
4,95305,95305,60,1110,2225
5,94195,94195,60,1140,2300
6,93055,93055,60,1170,2375
7,91885,91885,60,1200,2450
8,90685,90685,60,1260,2525
9,89425,89425,60,1290,2600
10,88135,88135,60,1320,2675
11,86815,86815,60,1350,2750
12,85465,85465,60,1410,2825
13,84055,84055,60,1440,2900
14,82615,82615,60,1470,2975
15,81145,81145,60,1500,3050
16,79645,79645,60,1560,3125
17,78085,78085,60,1590,3200
18,76495,76495,60,1620,3275
19,74875,74875,60,1650,3350
20,73225,73225,60,1710,3425
21,71515,71515,60,1740,3500
22,69775,69775,60,1770,3575
23,68005,68005,60,1800,3650
24,66205,66205,60,1860,3725
25,64345,64345,60,1890,3800
26,62455,62455,60,1920,3875
27,60535,60535,60,1950,3950
28,58585,58585,60,2010,4025
29,56575,56575,60,2040,4100
30,54535,54535,60,2070,4175
31,52465,52465,60,2100,4250
32,50365,50365,60,2160,4325
33,48205,48205,60,2190,4400
34,46015,46015,60,2220,4475
35,43795,43795,60,2250,4550
36,41545,41545,60,2310,4625
37,39235,39235,60,2340,4700
38,36895,36895,60,2370,4775
39,34525,34525,60,2400,4850
40,32125,32125,60,2460,4925
41,29665,29665,60,2490,5000
42,27175,27175,60,2520,5075
43,24655,24655,60,2550,5150
44,22105,22105,60,2610,5225
45,19495,19495,60,2640,5300
46,16855,16855,60,2670,5375
47,14185,14185,60,2700,5450
48,11485,11485,60,2760,5525
49,8725,8725,60,2790,5600
50,5974,5974,60,2820,5675
