"Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget"
1,98100,98100,60,990,2000
2,97110,97110,60,1020,2075
3,96090,96090,60,1050,2150
4,95040,95040,60,1110,2225
5,93930,93930,60,1140,2300
6,92790,92790,60,1170,2375
7,91620,91620,60,1200,2450
8,90420,90420,60,1260,2525
9,89160,89160,60,1290,2600
10,87870,87870,60,1320,2675
11,86550,86550,60,1350,2750
12,85200,85200,60,1410,2825
13,83790,83790,60,1440,2900
14,82350,82350,60,1470,2975
15,80880,80880,60,1500,3050
16,79380,79380,60,1560,3125
17,77820,77820,60,1590,3200
18,76230,76230,60,1620,3275
19,74610,74610,60,1650,3350
20,72960,72960,60,1710,3425
21,71250,71250,60,1740,3500
22,69510,69510,60,1770,3575
23,67740,67740,60,1800,3650
24,65940,65940,60,1860,3725
25,64080,64080,60,1890,3800
26,62190,62190,60,1920,3875
27,60270,60270,60,1950,3950
28,58320,58320,60,2010,4025
29,56310,56310,60,2040,4100
30,54270,54270,60,2070,4175
31,52200,52200,60,2100,4250
32,50100,50100,60,2160,4325
33,47940,47940,60,2190,4400
34,45750,45750,60,2220,4475
35,43530,43530,60,2250,4550
36,41280,41280,60,2310,4625
37,38970,38970,60,2340,4700
38,36630,36630,60,2370,4775
39,34260,34260,60,2400,4850
40,31860,31860,60,2460,4925
41,29400,29400,60,2490,5000
42,26910,26910,60,2520,5075
43,24390,24390,60,2550,5150
44,21840,21840,60,2610,5225
45,19230,19230,60,2640,5300
46,16590,16590,60,2670,5375
47,13920,13920,60,2700,5450
48,11220,11220,60,2760,5525
49,8460,8460,60,2790,5600
50,5711,5711,60,2820,5675
