"Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget"
1,98443,98443,60,990,2000
2,97453,97453,60,1020,2075
3,96433,96433,60,1050,2150
4,95383,95383,60,1110,2225
5,94273,94273,60,1140,2300
6,93133,93133,60,1170,2375
7,91963,91963,60,1200,2450
8,90763,90763,60,1260,2525
9,89503,89503,60,1290,2600
10,88213,88213,60,1320,2675
11,86893,86893,60,1350,2750
12,85543,85543,60,1410,2825
13,84133,84133,60,1440,2900
14,82693,82693,60,1470,2975
15,81223,81223,60,1500,3050
16,79723,79723,60,1560,3125
17,78163,78163,60,1590,3200
18,76573,76573,60,1620,3275
19,74953,74953,60,1650,3350
20,73303,73303,60,1710,3425
21,71593,71593,60,1740,3500
22,69853,69853,60,1770,3575
23,68083,68083,60,1800,3650
24,66283,66283,60,1860,3725
25,64423,64423,60,1890,3800
26,62533,62533,60,1920,3875
27,60613,60613,60,1950,3950
28,58663,58663,60,2010,4025
29,56653,56653,60,2040,4100
30,54613,54613,60,2070,4175
31,52543,52543,60,2100,4250
32,50443,50443,60,2160,4325
33,48283,48283,60,2190,4400
34,46093,46093,60,2220,4475
35,43873,43873,60,2250,4550
36,41623,41623,60,2310,4625
37,39313,39313,60,2340,4700
38,36973,36973,60,2370,4775
39,34603,34603,60,2400,4850
40,32203,32203,60,2460,4925
41,29743,29743,60,2490,5000
42,27253,27253,60,2520,5075
43,24733,24733,60,2550,5150
44,22183,22183,60,2610,5225
45,19573,19573,60,2640,5300
46,16933,16933,60,2670,5375
47,14263,14263,60,2700,5450
48,11563,11563,60,2760,5525
49,8803,8803,60,2790,5600
50,6013,6013,60,2820,5675
