"Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget"
1,96829,96829,60,990,2000
2,95839,95839,60,1020,2075
3,94819,94819,60,1050,2150
4,93769,93769,60,1110,2225
5,92659,92659,60,1140,2300
6,91519,91519,60,1170,2375
7,90349,90349,60,1200,2450
8,89149,89149,60,1260,2525
9,87889,87889,60,1290,2600
10,86599,86599,60,1320,2675
11,85279,85279,60,1350,2750
12,83929,83929,60,1410,2825
13,82519,82519,60,1440,2900
14,81079,81079,60,1470,2975
15,79609,79609,60,1500,3050
16,78109,78109,60,1560,3125
17,76549,76549,60,1590,3200
18,74959,74959,60,1620,3275
19,73339,73339,60,1650,3350
20,71689,71689,60,1710,3425
21,69979,69979,60,1740,3500
22,68239,68239,60,1770,3575
23,66469,66469,60,1800,3650
24,64669,64669,60,1860,3725
25,62809,62809,60,1890,3800
26,60919,60919,60,1920,3875
27,58999,58999,60,1950,3950
28,57049,57049,60,2010,4025
29,55039,55039,60,2040,4100
30,52999,52999,60,2070,4175
31,50929,50929,60,2100,4250
32,48829,48829,60,2160,4325
33,46669,46669,60,2190,4400
34,44479,44479,60,2220,4475
35,42259,42259,60,2250,4550
36,40009,40009,60,2310,4625
37,37699,37699,60,2340,4700
38,35359,35359,60,2370,4775
39,32989,32989,60,2400,4850
40,30589,30589,60,2460,4925
41,28129,28129,60,2490,5000
42,25639,25639,60,2520,5075
43,23119,23119,60,2550,5150
44,20569,20569,60,2610,5225
45,17959,17959,60,2640,5300
46,15319,15319,60,2670,5375
47,12649,12649,60,2700,5450
48,9949,9949,60,2760,5525
49,7189,7189,60,2790,5600
50,4476,4476,60,2820,5675
