"Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget"
1,98831,98831,60,990,2000
2,97841,97841,60,1020,2075
3,96821,96821,60,1050,2150
4,95771,95771,60,1110,2225
5,94661,94661,60,1140,2300
6,93521,93521,60,1170,2375
7,92351,92351,60,1200,2450
8,91151,91151,60,1260,2525
9,89891,89891,60,1290,2600
10,88601,88601,60,1320,2675
11,87281,87281,60,1350,2750
12,85931,85931,60,1410,2825
13,84521,84521,60,1440,2900
14,83081,83081,60,1470,2975
15,81611,81611,60,1500,3050
16,80111,80111,60,1560,3125
17,78551,78551,60,1590,3200
18,76961,76961,60,1620,3275
19,75341,75341,60,1650,3350
20,73691,73691,60,1710,3425
21,71981,71981,60,1740,3500
22,70241,70241,60,1770,3575
23,68471,68471,60,1800,3650
24,66671,66671,60,1860,3725
25,64811,64811,60,1890,3800
26,62921,62921,60,1920,3875
27,61001,61001,60,1950,3950
28,59051,59051,60,2010,4025
29,57041,57041,60,2040,4100
30,55001,55001,60,2070,4175
31,52931,52931,60,2100,4250
32,50831,50831,60,2160,4325
33,48671,48671,60,2190,4400
34,46481,46481,60,2220,4475
35,44261,44261,60,2250,4550
36,42011,42011,60,2310,4625
37,39701,39701,60,2340,4700
38,37361,37361,60,2370,4775
39,34991,34991,60,2400,4850
40,32591,32591,60,2460,4925
41,30131,30131,60,2490,5000
42,27641,27641,60,2520,5075
43,25121,25121,60,2550,5150
44,22571,22571,60,2610,5225
45,19961,19961,60,2640,5300
46,17321,17321,60,2670,5375
47,14651,14651,60,2700,5450
48,11951,11951,60,2758,5525
49,9193,9193,60,2788,5600
50,6405,6405,60,2820,5675
