"Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget"
1,98686,98686,60,990,2000
2,97696,97696,60,1020,2075
3,96676,96676,60,1050,2150
4,95626,95626,60,1110,2225
5,94516,94516,60,1140,2300
6,93376,93376,60,1170,2375
7,92206,92206,60,1200,2450
8,91006,91006,60,1260,2525
9,89746,89746,60,1290,2600
10,88456,88456,60,1320,2675
11,87136,87136,60,1350,2750
12,85786,85786,60,1410,2825
13,84376,84376,60,1440,2900
14,82936,82936,60,1470,2975
15,81466,81466,60,1500,3050
16,79966,79966,60,1560,3125
17,78406,78406,60,1590,3200
18,76816,76816,60,1620,3275
19,75196,75196,60,1650,3350
20,73546,73546,60,1710,3425
21,71836,71836,60,1740,3500
22,70096,70096,60,1770,3575
23,68326,68326,60,1800,3650
24,66526,66526,60,1860,3725
25,64666,64666,60,1890,3800
26,62776,62776,60,1920,3875
27,60856,60856,60,1950,3950
28,58906,58906,60,2010,4025
29,56896,56896,60,2040,4100
30,54856,54856,60,2070,4175
31,52786,52786,60,2100,4250
32,50686,50686,60,2160,4325
33,48526,48526,60,2190,4400
34,46336,46336,60,2220,4475
35,44116,44116,60,2250,4550
36,41866,41866,60,2310,4625
37,39556,39556,60,2340,4700
38,37216,37216,60,2370,4775
39,34846,34846,60,2400,4850
40,32446,32446,60,2460,4925
41,29986,29986,60,2490,5000
42,27496,27496,60,2520,5075
43,24976,24976,60,2550,5150
44,22426,22426,60,2610,5225
45,19816,19816,60,2640,5300
46,17176,17176,60,2670,5375
47,14506,14506,60,2700,5450
48,11806,11806,60,2760,5525
49,9046,9046,60,2790,5600
50,6256,6256,60,2820,5675
