"Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget"
1,97179,97179,60,990,2000
2,96189,96189,60,1020,2075
3,95169,95169,60,1050,2150
4,94119,94119,60,1110,2225
5,93009,93009,60,1140,2300
6,91869,91869,60,1170,2375
7,90699,90699,60,1200,2450
8,89499,89499,60,1260,2525
9,88239,88239,60,1290,2600
10,86949,86949,60,1320,2675
11,85629,85629,60,1350,2750
12,84279,84279,60,1410,2825
13,82869,82869,60,1440,2900
14,81429,81429,60,1470,2975
15,79959,79959,60,1500,3050
16,78459,78459,60,1560,3125
17,76899,76899,60,1590,3200
18,75309,75309,60,1620,3275
19,73689,73689,60,1650,3350
20,72039,72039,60,1710,3425
21,70329,70329,60,1740,3500
22,68589,68589,60,1770,3575
23,66819,66819,60,1800,3650
24,65019,65019,60,1860,3725
25,63159,63159,60,1890,3800
26,61269,61269,60,1920,3875
27,59349,59349,60,1950,3950
28,57399,57399,60,2010,4025
29,55389,55389,60,2040,4100
30,53349,53349,60,2070,4175
31,51279,51279,60,2100,4250
32,49179,49179,60,2160,4325
33,47019,47019,60,2190,4400
34,44829,44829,60,2220,4475
35,42609,42609,60,2250,4550
36,40359,40359,60,2310,4625
37,38049,38049,60,2340,4700
38,35709,35709,60,2370,4775
39,33339,33339,60,2400,4850
40,30939,30939,60,2460,4925
41,28479,28479,60,2490,5000
42,25989,25989,60,2520,5075
43,23469,23469,60,2550,5150
44,20919,20919,60,2610,5225
45,18309,18309,60,2640,5300
46,15669,15669,60,2670,5375
47,12999,12999,60,2700,5450
48,10299,10299,60,2760,5525
49,7539,7539,60,2790,5600
50,4778,4778,60,2820,5675
