"Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget"
1,97830,97830,60,990,2000
2,96840,96840,60,1020,2075
3,95820,95820,60,1050,2150
4,94770,94770,60,1110,2225
5,93660,93660,60,1140,2300
6,92520,92520,60,1170,2375
7,91350,91350,60,1200,2450
8,90150,90150,60,1260,2525
9,88890,88890,60,1290,2600
10,87600,87600,60,1320,2675
11,86280,86280,60,1350,2750
12,84930,84930,60,1410,2825
13,83520,83520,60,1440,2900
14,82080,82080,60,1470,2975
15,80610,80610,60,1500,3050
16,79110,79110,60,1560,3125
17,77550,77550,60,1590,3200
18,75960,75960,60,1620,3275
19,74340,74340,60,1650,3350
20,72690,72690,60,1710,3425
21,70980,70980,60,1740,3500
22,69240,69240,60,1770,3575
23,67470,67470,60,1800,3650
24,65670,65670,60,1860,3725
25,63810,63810,60,1890,3800
26,61920,61920,60,1920,3875
27,60000,60000,60,1950,3950
28,58050,58050,60,2010,4025
29,56040,56040,60,2040,4100
30,54000,54000,60,2070,4175
31,51930,51930,60,2100,4250
32,49830,49830,60,2160,4325
33,47670,47670,60,2190,4400
34,45480,45480,60,2220,4475
35,43260,43260,60,2250,4550
36,41010,41010,60,2310,4625
37,38700,38700,60,2340,4700
38,36360,36360,60,2370,4775
39,33990,33990,60,2400,4850
40,31590,31590,60,2460,4925
41,29130,29130,60,2490,5000
42,26640,26640,60,2520,5075
43,24120,24120,60,2550,5150
44,21570,21570,60,2610,5225
45,18960,18960,60,2640,5300
46,16320,16320,60,2670,5375
47,13650,13650,60,2700,5450
48,10950,10950,60,2760,5525
49,8190,8190,60,2790,5600
50,5400,5400,60,2820,5675
