"Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget"
1,98643,98643,60,990,2000
2,97653,97653,60,1020,2075
3,96633,96633,60,1050,2150
4,95583,95583,60,1110,2225
5,94473,94473,60,1140,2300
6,93333,93333,60,1170,2375
7,92163,92163,60,1200,2450
8,90963,90963,60,1260,2525
9,89703,89703,60,1290,2600
10,88413,88413,60,1320,2675
11,87093,87093,60,1350,2750
12,85743,85743,60,1410,2825
13,84333,84333,60,1440,2900
14,82893,82893,60,1470,2975
15,81423,81423,60,1500,3050
16,79923,79923,60,1560,3125
17,78363,78363,60,1590,3200
18,76773,76773,60,1620,3275
19,75153,75153,60,1650,3350
20,73503,73503,60,1710,3425
21,71793,71793,60,1740,3500
22,70053,70053,60,1770,3575
23,68283,68283,60,1800,3650
24,66483,66483,60,1860,3725
25,64623,64623,60,1890,3800
26,62733,62733,60,1920,3875
27,60813,60813,60,1950,3950
28,58863,58863,60,2010,4025
29,56853,56853,60,2040,4100
30,54813,54813,60,2070,4175
31,52743,52743,60,2100,4250
32,50643,50643,60,2160,4325
33,48483,48483,60,2190,4400
34,46293,46293,60,2220,4475
35,44073,44073,60,2250,4550
36,41823,41823,60,2310,4625
37,39513,39513,60,2340,4700
38,37173,37173,60,2370,4775
39,34803,34803,60,2400,4850
40,32403,32403,60,2460,4925
41,29943,29943,60,2490,5000
42,27453,27453,60,2520,5075
43,24933,24933,60,2550,5150
44,22383,22383,60,2610,5225
45,19773,19773,60,2640,5300
46,17133,17133,60,2670,5375
47,14463,14463,60,2700,5450
48,11763,11763,60,2760,5525
49,9003,9003,60,2790,5600
50,6213,6213,60,2820,5675
