"Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget"
1,98616,98616,60,990,2000
2,97626,97626,60,1020,2075
3,96606,96606,60,1050,2150
4,95556,95556,60,1110,2225
5,94446,94446,60,1140,2300
6,93306,93306,60,1170,2375
7,92136,92136,60,1200,2450
8,90936,90936,60,1260,2525
9,89676,89676,60,1290,2600
10,88386,88386,60,1320,2675
11,87066,87066,60,1350,2750
12,85716,85716,60,1410,2825
13,84306,84306,60,1440,2900
14,82866,82866,60,1470,2975
15,81396,81396,60,1500,3050
16,79896,79896,60,1560,3125
17,78336,78336,60,1590,3200
18,76746,76746,60,1620,3275
19,75126,75126,60,1650,3350
20,73476,73476,60,1710,3425
21,71766,71766,60,1740,3500
22,70026,70026,60,1770,3575
23,68256,68256,60,1800,3650
24,66456,66456,60,1860,3725
25,64596,64596,60,1890,3800
26,62706,62706,60,1920,3875
27,60786,60786,60,1950,3950
28,58836,58836,60,2010,4025
29,56826,56826,60,2040,4100
30,54786,54786,60,2070,4175
31,52716,52716,60,2100,4250
32,50616,50616,60,2160,4325
33,48456,48456,60,2190,4400
34,46266,46266,60,2220,4475
35,44046,44046,60,2250,4550
36,41796,41796,60,2310,4625
37,39486,39486,60,2340,4700
38,37146,37146,60,2370,4775
39,34776,34776,60,2400,4850
40,32376,32376,60,2460,4925
41,29916,29916,60,2490,5000
42,27426,27426,60,2520,5075
43,24906,24906,60,2550,5150
44,22356,22356,60,2610,5225
45,19746,19746,60,2640,5300
46,17106,17106,60,2670,5375
47,14436,14436,60,2700,5450
48,11736,11736,60,2760,5525
49,8976,8976,60,2790,5600
50,6247,6247,60,2820,5675
