"Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget"
1,97950,97950,60,990,2000
2,96960,96960,60,1020,2075
3,95940,95940,60,1050,2150
4,94890,94890,60,1110,2225
5,93780,93780,60,1140,2300
6,92640,92640,60,1170,2375
7,91470,91470,60,1200,2450
8,90270,90270,60,1260,2525
9,89010,89010,60,1290,2600
10,87720,87720,60,1320,2675
11,86400,86400,60,1350,2750
12,85050,85050,60,1410,2825
13,83640,83640,60,1440,2900
14,82200,82200,60,1470,2975
15,80730,80730,60,1500,3050
16,79230,79230,60,1560,3125
17,77670,77670,60,1590,3200
18,76080,76080,60,1620,3275
19,74460,74460,60,1650,3350
20,72810,72810,60,1710,3425
21,71100,71100,60,1740,3500
22,69360,69360,60,1770,3575
23,67590,67590,60,1800,3650
24,65790,65790,60,1860,3725
25,63930,63930,60,1890,3800
26,62040,62040,60,1920,3875
27,60120,60120,60,1950,3950
28,58170,58170,60,2010,4025
29,56160,56160,60,2040,4100
30,54120,54120,60,2070,4175
31,52050,52050,60,2100,4250
32,49950,49950,60,2160,4325
33,47790,47790,60,2190,4400
34,45600,45600,60,2220,4475
35,43380,43380,60,2250,4550
36,41130,41130,60,2310,4625
37,38820,38820,60,2340,4700
38,36480,36480,60,2370,4775
39,34110,34110,60,2400,4850
40,31710,31710,60,2460,4925
41,29250,29250,60,2490,5000
42,26760,26760,60,2520,5075
43,24240,24240,60,2550,5150
44,21690,21690,60,2610,5225
45,19080,19080,60,2640,5300
46,16440,16440,60,2670,5375
47,13770,13770,60,2700,5450
48,11070,11070,60,2760,5525
49,8310,8310,60,2790,5600
50,5520,5520,60,2820,5675
