"Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget"
1,98703,98703,60,990,2000
2,97713,97713,60,1020,2075
3,96693,96693,60,1050,2150
4,95643,95643,60,1110,2225
5,94533,94533,60,1140,2300
6,93393,93393,60,1170,2375
7,92223,92223,60,1200,2450
8,91023,91023,60,1260,2525
9,89763,89763,60,1290,2600
10,88473,88473,60,1320,2675
11,87153,87153,60,1350,2750
12,85803,85803,60,1410,2825
13,84393,84393,60,1440,2900
14,82953,82953,60,1470,2975
15,81483,81483,60,1500,3050
16,79983,79983,60,1560,3125
17,78423,78423,60,1590,3200
18,76833,76833,60,1620,3275
19,75213,75213,60,1650,3350
20,73563,73563,60,1710,3425
21,71853,71853,60,1740,3500
22,70113,70113,60,1770,3575
23,68343,68343,60,1800,3650
24,66543,66543,60,1860,3725
25,64683,64683,60,1890,3800
26,62793,62793,60,1920,3875
27,60873,60873,60,1950,3950
28,58923,58923,60,2010,4025
29,56913,56913,60,2040,4100
30,54873,54873,60,2070,4175
31,52803,52803,60,2100,4250
32,50703,50703,60,2160,4325
33,48543,48543,60,2190,4400
34,46353,46353,60,2220,4475
35,44133,44133,60,2250,4550
36,41883,41883,60,2310,4625
37,39573,39573,60,2340,4700
38,37233,37233,60,2370,4775
39,34863,34863,60,2400,4850
40,32463,32463,60,2460,4925
41,30003,30003,60,2490,5000
42,27513,27513,60,2520,5075
43,24993,24993,60,2550,5150
44,22443,22443,60,2610,5225
45,19833,19833,60,2640,5300
46,17193,17193,60,2670,5375
47,14523,14523,60,2700,5450
48,11823,11823,60,2760,5525
49,9063,9063,60,2790,5600
50,6276,6276,60,2820,5675
