"Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget"
1,97265,97265,60,990,2000
2,96275,96275,60,1020,2075
3,95255,95255,60,1050,2150
4,94205,94205,60,1110,2225
5,93095,93095,60,1140,2300
6,91955,91955,60,1170,2375
7,90785,90785,60,1200,2450
8,89585,89585,60,1260,2525
9,88325,88325,60,1290,2600
10,87035,87035,60,1320,2675
11,85715,85715,60,1350,2750
12,84365,84365,60,1410,2825
13,82955,82955,60,1440,2900
14,81515,81515,60,1470,2975
15,80045,80045,60,1500,3050
16,78545,78545,60,1560,3125
17,76985,76985,60,1590,3200
18,75395,75395,60,1620,3275
19,73775,73775,60,1650,3350
20,72125,72125,60,1710,3425
21,70415,70415,60,1740,3500
22,68675,68675,60,1770,3575
23,66905,66905,60,1800,3650
24,65105,65105,60,1860,3725
25,63245,63245,60,1890,3800
26,61355,61355,60,1920,3875
27,59435,59435,60,1950,3950
28,57485,57485,60,2010,4025
29,55475,55475,60,2040,4100
30,53435,53435,60,2070,4175
31,51365,51365,60,2100,4250
32,49265,49265,60,2160,4325
33,47105,47105,60,2190,4400
34,44915,44915,60,2220,4475
35,42695,42695,60,2250,4550
36,40445,40445,60,2310,4625
37,38135,38135,60,2340,4700
38,35795,35795,60,2370,4775
39,33425,33425,60,2400,4850
40,31025,31025,60,2460,4925
41,28565,28565,60,2490,5000
42,26075,26075,60,2520,5075
43,23555,23555,60,2550,5150
44,21005,21005,60,2610,5225
45,18395,18395,60,2640,5300
46,15755,15755,60,2670,5375
47,13085,13085,60,2700,5450
48,10385,10385,60,2760,5525
49,7625,7625,60,2790,5600
50,4835,4835,60,2820,5675
