"Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget"
1,98332,98332,60,990,2000
2,97342,97342,60,1020,2075
3,96322,96322,60,1050,2150
4,95272,95272,60,1110,2225
5,94162,94162,60,1140,2300
6,93022,93022,60,1170,2375
7,91852,91852,60,1200,2450
8,90652,90652,60,1260,2525
9,89392,89392,60,1290,2600
10,88102,88102,60,1320,2675
11,86782,86782,60,1350,2750
12,85432,85432,60,1410,2825
13,84022,84022,60,1440,2900
14,82582,82582,60,1470,2975
15,81112,81112,60,1500,3050
16,79612,79612,60,1560,3125
17,78052,78052,60,1590,3200
18,76462,76462,60,1620,3275
19,74842,74842,60,1650,3350
20,73192,73192,60,1710,3425
21,71482,71482,60,1740,3500
22,69742,69742,60,1770,3575
23,67972,67972,60,1800,3650
24,66172,66172,60,1860,3725
25,64312,64312,60,1890,3800
26,62422,62422,60,1920,3875
27,60502,60502,60,1950,3950
28,58552,58552,60,2010,4025
29,56542,56542,60,2040,4100
30,54502,54502,60,2070,4175
31,52432,52432,60,2100,4250
32,50332,50332,60,2160,4325
33,48172,48172,60,2190,4400
34,45982,45982,60,2220,4475
35,43762,43762,60,2250,4550
36,41512,41512,60,2310,4625
37,39202,39202,60,2340,4700
38,36862,36862,60,2370,4775
39,34492,34492,60,2400,4850
40,32092,32092,60,2460,4925
41,29632,29632,60,2490,5000
42,27142,27142,60,2520,5075
43,24622,24622,60,2550,5150
44,22072,22072,60,2610,5225
45,19462,19462,60,2640,5300
46,16822,16822,60,2670,5375
47,14152,14152,60,2700,5450
48,11452,11452,60,2760,5525
49,8692,8692,60,2790,5600
50,5914,5914,60,2820,5675
